"code","label","means_missing","description"
"10","reporting hospital, nos",FALSE,"Reporting Hospital, NOS"
"20","pathology department review (surgical pathology reports, autopsies, or cytology reports)",FALSE,"Pathology Department Review (surgical pathology reports, autopsies, or cytology reports)"
"21","daily discharge review (daily screening of charts of discharged patients in the medical records department)",FALSE,"Daily Discharge Review (daily screening of charts of discharged patients in the medical records department)"
"22","disease index review (review of disease index in the medical records department)",FALSE,"Disease Index Review (review of disease index in the medical records department)"
"23","radiation therapy department/center",FALSE,"Radiation Therapy Department/Center"
"24","laboratory reports (other than pathology reports, code 20)",FALSE,"Laboratory Reports (other than pathology reports, code 20)"
"25","outpatient chemotherapy",FALSE,"Outpatient Chemotherapy"
"26","diagnostic imaging/radiology (other than radiation therapy, codes 23; includes nuclear medicine)",FALSE,"Diagnostic Imaging/Radiology (other than radiation therapy, codes 23; includes nuclear medicine)"
"27","tumor board",FALSE,"Tumor Board"
"28","hospital rehabilitation service or clinic",FALSE,"Hospital Rehabilitation Service or Clinic"
"29","other hospital source (including clinic, nos or outpatient department, nos)",FALSE,"Other Hospital Source (including clinic, NOS or outpatient department, NOS)"
"30","physician-initiated case",FALSE,"Physician-Initiated Case"
"40","consultation-only or pathology-only report (not abstracted by reporting hospital)",FALSE,"Consultation-only or Pathology-only Report (not abstracted by reporting hospital)"
"50","independent (non-hospital) pathology-laboratory report",FALSE,"Independent (non-hospital) Pathology-Laboratory Report"
"60","nursing home-initiated case",FALSE,"Nursing Home-Initiated Case"
"70","coroner's office records review",FALSE,"Coroner's Office Records Review"
"75","managed care organization (mco) or insurance records",FALSE,"Managed Care Organization (MCO) or Insurance Records"
"80","death certificate (case identified through death clearance)",FALSE,"Death Certificate (case identified through death clearance)"
"85","out-of-state case sharing",FALSE,"Out-of-State Case Sharing"
"90","other non-reporting hospital source",FALSE,"Other Non-Reporting Hospital Source"
"95","quality control review (case initially identified through quality control activities such as casefinding audit of a regional or central registry)",FALSE,"Quality Control Review (case initially identified through quality control activities such as casefinding audit of a regional or central registry)"
"99","unknown",TRUE,"Unknown"
