"code","label","means_missing","description"
"001","chief executives",FALSE,"chief executives"
"002","general and operations managers",FALSE,"general and operations managers"
"003","legislators",FALSE,"legislators"
"004","advertising and promotions managers",FALSE,"advertising and promotions managers"
"005","marketing and sales managers",FALSE,"marketing and sales managers"
"006","public relations managers",FALSE,"public relations managers"
"010","administrative services managers",FALSE,"administrative services managers"
"011","computer and information systems managers",FALSE,"computer and information systems managers"
"012","financial managers",FALSE,"financial managers"
"013","human resources managers",FALSE,"human resources managers"
"014","industrial production managers",FALSE,"industrial production managers"
"015","purchasing managers",FALSE,"purchasing managers"
"016","transportation, storage, and distribution managers",FALSE,"transportation, storage, and distribution managers"
"020","farm, ranch, and other agricultural managers",FALSE,"farm, ranch, and other agricultural managers"
"021","farmers and ranchers",FALSE,"farmers and ranchers"
"022","construction managers",FALSE,"construction managers"
"023","education administrators",FALSE,"education administrators"
"030","engineering managers",FALSE,"engineering managers"
"031","food service managers",FALSE,"food service managers"
"032","funeral directors",FALSE,"funeral directors"
"033","gaming managers",FALSE,"gaming managers"
"034","lodging managers",FALSE,"lodging managers"
"035","medical and health services managers",FALSE,"medical and health services managers"
"036","natural sciences managers",FALSE,"natural sciences managers"
"040","postmasters and mail superintendents",FALSE,"postmasters and mail superintendents"
"041","property, real estate, and community association managers",FALSE,"property, real estate, and community association managers"
"042","social and community service managers",FALSE,"social and community service managers"
"043","managers, all other",FALSE,"managers, all other"
"050","agents and business managers of artists, performers, and athletes",FALSE,"agents and business managers of artists, performers, and athletes"
"051","purchasing agents and buyers, farm products",FALSE,"purchasing agents and buyers, farm products"
"052","wholesale and retail buyers, except farm products",FALSE,"wholesale and retail buyers, except farm products"
"053","purchasing agents, except wholesale, retail, and farm products",FALSE,"purchasing agents, except wholesale, retail, and farm products"
"054","claims adjusters, appraisers, examiners, and investigators",FALSE,"claims adjusters, appraisers, examiners, and investigators"
"056","compliance officers, except agriculture, construction, health and safety, and transportation",FALSE,"compliance officers, except agriculture, construction, health and safety, and transportation"
"060","cost estimators",FALSE,"cost estimators"
"062","human resources, training, and labor relations specialists",FALSE,"human resources, training, and labor relations specialists"
"070","logisticians",FALSE,"logisticians"
"071","management analysts",FALSE,"management analysts"
"072","meeting and convention planners",FALSE,"meeting and convention planners"
"073","other business operations specialists ,",FALSE,"other business operations specialists ,"
"080","accountants and auditors",FALSE,"accountants and auditors"
"081","appraisers and assessors of real estate",FALSE,"appraisers and assessors of real estate"
"082","budget analysts",FALSE,"budget analysts"
"083","credit analysts",FALSE,"credit analysts"
"084","financial analysts",FALSE,"financial analysts"
"085","personal financial advisors",FALSE,"personal financial advisors"
"086","insurance underwriters",FALSE,"insurance underwriters"
"090","financial examiners",FALSE,"financial examiners"
"091","loan counselors and officers",FALSE,"loan counselors and officers"
"093","tax examiners, collectors, and revenue agents",FALSE,"tax examiners, collectors, and revenue agents"
"094","tax preparers",FALSE,"tax preparers"
"095","financial specialists, all other",FALSE,"financial specialists, all other"
"100","computer scientists and systems analysts , ,",FALSE,"computer scientists and systems analysts , ,"
"101","computer programmers",FALSE,"computer programmers"
"102","computer software engineers",FALSE,"computer software engineers"
