"code","label","means_missing","description"
"00","diagnosis at reporting facility, all treatment elsewhere",FALSE,"Initial diagnosis at the reporting facility AND all treatment or a decision not to treat was done ELSEWHERE"
"10","diagnosis at reporting facility or staff physician's office, part or all treatment at reporting facility",FALSE,"Initial diagnosis at the reporting facility or in a staff physician's office AND PART OR ALL of first course treatment or a decision not to treat was at the reporting facility, NOS"
"11","diagnosis at physician office, part treatment at reporting facility",FALSE,"Initial diagnosis in staff physician's office AND PART of first course treatment was done at the reporting facility"
"12","diagnosis at physician office, all treatment at reporting facility",FALSE,"Initial diagnosis in staff physician's office AND ALL first course treatment or a decision not to treat was done at the reporting facility"
"13","diagnosis at reporting facility, part treatment at reporting facility",FALSE,"Initial diagnosis at the reporting facility AND PART of first course treatment was done at the reporting facility"
"14","diagnosis at reporting facility, all treatment at reporting facility",FALSE,"Initial diagnosis at the reporting facility AND ALL first course treatment or a decision not to treat was done at the reporting facility"
"20","diagnosis elsewhere, part or all treatment at reporting facility, NOS",FALSE,"Initial diagnosis elsewhere AND PART OR ALL of first course treatment was done at the reporting facility, NOS"
"21","diagnosis elsewhere, part treatment at reporting facility",FALSE,"Initial diagnosis elsewhere AND PART of treatment was done at the reporting facility"
"22","diagnosis elsewhere, all treatment at reporting facility",FALSE,"Initial diagnosis elsewhere AND ALL first course treatment was done at the reporting facility"
"30","diagnosis and all treatment elsewhere, reporting facility participated in diagnostic workup",FALSE,"Initial diagnosis and all first course treatment elsewhere AND reporting facility participated in DIAGNOSTIC WORKUP (for example, consult only, staging workup after initial diagnosis elsewhere)"
"31","diagnosis and all treatment elsewhere, reporting facility provided in-transit care",FALSE,"Initial diagnosis and all first course treatment elsewhere AND reporting facility provided IN-TRANSIT care"
"32","diagnosis and all treatment elsewhere, patient presents at reporting facility with disease",FALSE,"Diagnosis AND all first course treatment provided elsewhere AND patient presents at reporting facility with disease RECURRENCE OR PERSISTENCE"
"33","diagnosis and all treatment elsewhere, patient presents at reporting facility with history",FALSE,"Diagnosis AND all first course treatment provided elsewhere AND patient presents at reporting facility with disease HISTORY ONLY"
"34","not required by CoC, diagnosis and part or all treatment at reporting facility",FALSE,"Type of case not required by CoC to be accessioned (for example, a benign colon tumor) AND initial diagnosis AND part or all of first course treatment by reporting facility"
"35","diagnosis before program's reference date, diagnosis and part or all treatment at reporting facility",FALSE,"Case diagnosed before program's Reference Date AND initial diagnosis AND PART OR ALL of first course treatment by reporting facility"
"36","not required by CoC, diagnosis elsewhere and part or all treatment at reporting facility",FALSE,"Type of case not required by CoC to be accessioned (for example, a benign colon tumor) AND initial diagnosis elsewhere AND part of all of first course treatment by reporting facility"
"37","diagnosis before program's reference date, diagnosis elsewhere and all or part treatment at reporting facility",FALSE,"Case diagnosed before program's Reference Date AND initial diagnosis elsewhere AND all or part of first course treatment by reporting facility"
"38","autopsy at reporting facility, not suspected prior to death",FALSE,"Initial diagnosis established by AUTOPSY at the reporting facility, cancer not suspected prior to death"
"40","diagnosis and all treatment at same physician office",FALSE,"Diagnosis AND all first course treatment given at the same staff physician's office"
"41","diagnosis and all treatment at different physician offices",FALSE,"Diagnosis and all first course treatment given in two or more different staff physician offices"
"42","not part of reporting facility",FALSE,"Non-staff physician or non-CoC accredited clinic or other facility, not part of reporting facility, accessioned by reporting facility for diagnosis and/or treatment by that entity (for example, hospital abstracts cases from an independent radiation facility)"
"43","pathology or lab specimens only",FALSE,"PATHOLOGY or other lab specimens ONLY"
"49","death certificate only",FALSE,"DEATH CERTIFICATE ONLY"
"99","unknown",TRUE,"Nonanalytic case of unknown relationship to facility (not for use by CoC accredited cancer programs for analytic cases.); UNKNOWN"
