"code","label","description"
"0","0","Stage 0"
"01S","0is","Stage 0is"
"0A","0A","Stage 0A"
"1","I","Stage I"
"1A","IA","Stage IA"
"1A1","IA1","Stage IA1"
"1A2","IA2","Stage IA2"
"1B","IB","Stage IB"
"1B1","IB1","Stage IB1"
"1C","IC","Stage IC"
"1S","IS","Stage IS"
"2","2","Stage 2"
"2A","2A","Stage 2A"
"2A1","2A1","Stage 2A1"
"2A2","2A2","Stage 2A2"
"2B","2B","Stage 2B"
"2C","2C","Stage 2C"
"3","3","Stage 3"
"3A","3A","Stage 3A"
"3B","3B","Stage 3B"
"3C","3C","Stage 3C"
"3C1","3C1","Stage 3C1"
"3C2","3C2","Stage 3C2"
"4","4","Stage 4"
"4A","4A","Stage 4A"
"4A1","4A1","Stage 4A1"
"4A2","4A2","Stage 4A2"
"4B","4B","Stage 4B"
"4C","4C","Stage 4C"
"OC","OC","Stage OC"
