"code","label","description"
"","algorithm has not been run","Algorithm has not been run"
"0","stage 0","Stage 0"
"0A","stage 0a","Stage 0A"
"0IS","stage 0is","Stage 0is"
"1","stage i","Stage I"
"1A","stage ia","Stage IA"
"1A1","stage ia1","Stage IA1"
"1A2","stage ia2","Stage IA2"
"1B","stage ib","Stage IB"
"1B1","stage ib1","Stage IB1"
"1B2","stage ib2","Stage IB2"
"1C","stage ic","Stage IC"
"1S","stage is","Stage IS"
"2","stage ii","Stage II"
"2A","stage iia","Stage IIA"
"2A1","stage iia1","Stage IIA1"
"2A2","stage iia2","Stage IIA2"
"2B","stage iib","Stage IIB"
"2C","stage iic","Stage IIC"
"3","stage iii","Stage III"
"3A","stage iiia","Stage IIIA"
"3B","stage iiib","Stage IIIB"
"3C","stage iiic","Stage IIIC"
"3C1","stage iiic1","Stage IIIC1"
"3C2","stage iiic2","Stage IIIC2"
"4","stage iv","Stage IV"
"4A","stage iva","Stage IVA"
"4A1","stage iva1","Stage IVA1"
"4A2","stage iva2","Stage IVA2"
"4B","stage ivb","Stage IVB"
"4C","stage ivc","Stage IVC"
"88","not applicable","Not applicable"
"99","unknown","Unknown"
"OC","occult","Occult"
