"code","label","means_missing","description"
"0","0",FALSE,"Stage 0"
"0A","0A",FALSE,"Stage 0A"
"0IS","0is",FALSE,"Stage 0is"
"1","I",FALSE,"Stage I"
"1A","IA",FALSE,"Stage IA"
"1A1","IA1",FALSE,"Stage IA1"
"1A2","IA2",FALSE,"Stage IA2"
"1B","IB",FALSE,"Stage IB"
"1B1","IB1",FALSE,"Stage IB1"
"1B2","IB2",FALSE,"Stage IB2"
"1C","IC",FALSE,"Stage IC"
"1S","IS",FALSE,"Stage IS"
"2","II",FALSE,"Stage 2"
"2A","IIA",FALSE,"Stage 2A"
"2A1","IIA1",FALSE,"Stage 2A1"
"2A2","IIA2",FALSE,"Stage 2A2"
"2B","IIB",FALSE,"Stage 2B"
"2C","IIC",FALSE,"Stage 2C"
"3","III",FALSE,"Stage 3"
"3A","IIIA",FALSE,"Stage 3A"
"3B","IIIB",FALSE,"Stage 3B"
"3C","IIIC",FALSE,"Stage 3C"
"3C1","IIIC1",FALSE,"Stage 3C1"
"3C2","IIIC2",FALSE,"Stage 3C2"
"4","IV",FALSE,"Stage 4"
"4A","IVA",FALSE,"Stage 4A"
"4A1","IVA1",FALSE,"Stage 4A1"
"4A2","IVA2",FALSE,"Stage 4A2"
"4B","IVB",FALSE,"Stage 4B"
"4C","IVC",FALSE,"Stage 4C"
"OC","OC",FALSE,"Stage OC"
"88","not applicable",TRUE,"not applicable"
"99","unknown",TRUE,"unknown"
