"code","label","means_missing","description"
"0","none",FALSE,"No involvement in Levels I, II, or III lymph nodes"
"1","I",FALSE,"Level I lymph node(s) involved"
"2","II",FALSE,"Level II lymph node(s) involved"
"3","III",FALSE,"Level III lymph node(s) involved"
"4","I, II",FALSE,"Levels I and II lymph nodes involved"
"5","I, III",FALSE,"Levels I and III lymph nodes involved"
"6","II, III",FALSE,"Levels II and III lymph nodes involved"
"7","I, II, III",FALSE,"Levels I, II and III lymph nodes involved"
"8","not applicable",TRUE,"Not applicable: Information not collected for this case"
"9","unknown",TRUE,"Not documented in medical record; Positive nodes, but level of positive node(s) unknown; Lymph node levels I-III not assessed, or unknown if assessed"
