"code","label","means_missing","description"
"0","none",FALSE,"Negative femoral-inguinal, para-aortic and pelvic lymph nodes"
"1","femoral-inguinal",FALSE,"Positive femoral-inguinal lymph nodes"
"2","para-aortic",FALSE,"Positive para-aortic lymph nodes"
"3","pelvic",FALSE,"Positive pelvic lymph nodes"
"4","femoral-inguinal and para-aortic",FALSE,"Positive femoral-inguinal and para-aortic lymph nodes"
"5","femoral-inguinal and pelvic",FALSE,"Positive femoral-inguinal and pelvic lymph nodes"
"6","para-aortic and pelvic",FALSE,"Positive para-aortic and pelvic lymph nodes"
"7","para-aortic, pelvic, and femoral-inguinal",FALSE,"Positive para-aortic, pelvic, and femoral-inguinal lymph nodes"
"8","not applicable",TRUE,"Not applicable: Information not collected for this case"
"9","unknown",TRUE,"Not documented in medical record; Femoral-Inguinal, Para-aortic and Pelvic lymph nodes not assessed or unknown if assessed"
