"code","label","means_missing","description"
"01","child",FALSE,"child"
"02","sponsor",FALSE,"sponsor"
"03","sponsor",FALSE,"sponsor"
"04","sponsor",FALSE,"sponsor"
"05","sponsor",FALSE,"sponsor"
"06","sponsor",FALSE,"sponsor"
"07","sponsor",FALSE,"sponsor"
"08","sponsor",FALSE,"sponsor"
"09","sponsor",FALSE,"sponsor"
"10","sponsor",FALSE,"sponsor"
"11","sponsor",FALSE,"sponsor"
"12","sponsor",FALSE,"sponsor"
"13","sponsor",FALSE,"sponsor"
"14","sponsor",FALSE,"sponsor"
"15","sponsor",FALSE,"sponsor"
"16","sponsor",FALSE,"sponsor"
"17","sponsor",FALSE,"sponsor"
"18","sponsor",FALSE,"sponsor"
"19","sponsor",FALSE,"sponsor"
"20","sponsor",FALSE,"sponsor"
"21","spouse",FALSE,"spouse"
"22","spouse",FALSE,"spouse"
"23","spouse",FALSE,"spouse"
"24","spouse",FALSE,"spouse"
"25","spouse",FALSE,"spouse"
"26","spouse",FALSE,"spouse"
"27","spouse",FALSE,"spouse"
"28","spouse",FALSE,"spouse"
"29","spouse",FALSE,"spouse"
"30","spouse",FALSE,"spouse"
"31","mother",FALSE,"mother"
"32","mother",FALSE,"mother"
"33","mother",FALSE,"mother"
"34","mother",FALSE,"mother"
"35","mother",FALSE,"mother"
"36","mother",FALSE,"mother"
"37","mother",FALSE,"mother"
"38","mother",FALSE,"mother"
"39","mother",FALSE,"mother"
"40","mother",FALSE,"mother"
"41","father",FALSE,"father"
"42","father",FALSE,"father"
"43","father",FALSE,"father"
"44","father",FALSE,"father"
"45","father",FALSE,"father"
"46","father",FALSE,"father"
"47","father",FALSE,"father"
"48","father",FALSE,"father"
"49","father",FALSE,"father"
"50","father",FALSE,"father"
"51","mother-in-law",FALSE,"mother-in-law"
"52","mother-in-law",FALSE,"mother-in-law"
"53","mother-in-law",FALSE,"mother-in-law"
"54","mother-in-law",FALSE,"mother-in-law"
"55","mother-in-law",FALSE,"mother-in-law"
"56","father-in-law",FALSE,"father-in-law"
"57","father-in-law",FALSE,"father-in-law"
"58","father-in-law",FALSE,"father-in-law"
"59","father-in-law",FALSE,"father-in-law"
"60","father-in-law",FALSE,"father-in-law"
"61","other eligible",FALSE,"other eligible"
"62","other eligible",FALSE,"other eligible"
"63","other eligible",FALSE,"other eligible"
"64","other eligible",FALSE,"other eligible"
"65","other eligible",FALSE,"other eligible"
"66","other eligible",FALSE,"other eligible"
"67","other eligible",FALSE,"other eligible"
"68","other eligible",FALSE,"other eligible"
"69","other eligible",FALSE,"other eligible"
"70","other eligible",FALSE,"other eligible"
"71","other eligible",FALSE,"other eligible"
"72","other eligible",FALSE,"other eligible"
"73","other eligible",FALSE,"other eligible"
"74","other eligible",FALSE,"other eligible"
"75","other eligible",FALSE,"other eligible"
"76","other eligible",FALSE,"other eligible"
"77","other eligible",FALSE,"other eligible"
"78","other eligible",FALSE,"other eligible"
"79","other eligible",FALSE,"other eligible"
"80","other eligible",FALSE,"other eligible"
"81","other eligible",FALSE,"other eligible"
"82","other eligible",FALSE,"other eligible"
"83","other eligible",FALSE,"other eligible"
"84","other eligible",FALSE,"other eligible"
"85","other eligible",FALSE,"other eligible"
"86","other eligible",FALSE,"other eligible"
"87","other eligible",FALSE,"other eligible"
"88","other eligible",FALSE,"other eligible"
"89","other eligible",FALSE,"other eligible"
"90","other eligible",FALSE,"other eligible"
"91","other eligible",FALSE,"other eligible"
"92","other eligible",FALSE,"other eligible"
"93","other eligible",FALSE,"other eligible"
"94","other eligible",FALSE,"other eligible"
"95","other eligible",FALSE,"other eligible"
"96","other eligible",FALSE,"other eligible"
"97","other eligible",FALSE,"other eligible"
"98","other eligible",FALSE,"other eligible"
"99","civilian emergency",FALSE,"civilian emergency"
