"code","label","means_missing","description"
"00","single",FALSE,"Single tumor"
"10","multiple benign",FALSE,"Multiple benign"
"11","multiple borderline",FALSE,"Multiple borderline"
"12","benign and borderline",FALSE,"Benign and borderline"
"20","multiple in situ",FALSE,"Multiple in situ"
"30","in situ and invasive",FALSE,"In situ and invasive"
"31","polyp and adenocarcinoma",FALSE,"Polyp and adenocarcinoma"
"32","FAP with carcinoma",FALSE,"FAP with carcinoma"
"40","multiple invasive",FALSE,"Multiple invasive"
"80","unknown in situ or invasive",FALSE,"Unknown in situ or invasive"
"99","unknown",TRUE,"Unknown"
