"code","label","means_missing","description"
"120","2010 version 12",FALSE,"2010 Version 12"
"121","2011 version 12.1",FALSE,"2011 Version 12.1"
"122","2012 version 12.2",FALSE,"2012 Version 12.2"
"130","2013 version 13",FALSE,"2013 Version 13"
"140","2014 version 14",FALSE,"2014 Version 14"
"150","2015 version 15",FALSE,"2015 Version 15"
"160","2016 version 16",FALSE,"2016 Version 16"
"180","2018 version 18",FALSE,"2018 version 18"
"210","2021 version 21",FALSE,"2021 version 21"
"220","2022 version 22",FALSE,"2022 version 22"
"230","2023 version 23",FALSE,"2023 version 23"
"240","2024 version 24",FALSE,"2024 version 24"
"250","2025 version 25",FALSE,"2025 version 25"
