"code","label","means_missing","description"
"0","therapy not given",FALSE,"Neoadjuvant therapy not given"
"1","complete response",FALSE,"Stated as complete response (CR)"
"2","partial response",FALSE,"Stated as partial response (PR)"
"3","progressive disease",FALSE,"Progressive disease (PD)"
"4","stable disease",FALSE,"Stable disease (SD)"
"5","no response",FALSE,"No response (NR); Not stated as progressive disease (PD) or stable disease (SD)"
"6","inferred response",FALSE,"Neoadjuvant therapy done, managing/treating physician interpretation not available, treatment response inferred from imaging, biomarkers, or yc stage"
"7","based on pathology",FALSE,"Complete clinical response based on pathology report"
"8","therapy given, NOS",TRUE,"Neoadjuvant therapy done, response not documented or unknown"
"9","unknown",TRUE,"Unknown if neoadjuvant therapy performed"
