"code","label","means_missing","description"
"0","not staged",FALSE,"Not staged"
"1","managing physician",FALSE,"Managing physician"
"2","pathologist",FALSE,"Pathologist"
"3","other physician",FALSE,"Other physician"
"4","managing physician, pathologist, and/or other",FALSE,"Any combination of 1, 2, or 3"
"5","registrar",FALSE,"Registrar"
"6","registrar and managing physician, pathologist, and/or other",FALSE,"Any combination of 5 with 1, 2, or 3"
"7","other",FALSE,"Other"
"8","staged, NOS",FALSE,"Staged, individual not specified"
"9","unknown",TRUE,"Unknown if staged"
