"code","label","means_missing","description"
"000","United States, NOS",FALSE,"United States, NOS"
"001","New England",FALSE,"New England"
"002","Maine",FALSE,"Maine"
"003","New Hampshire",FALSE,"New Hampshire"
"004","Vermont",FALSE,"Vermont"
"005","Massachusetts",FALSE,"Massachusetts"
"006","Rhode Island",FALSE,"Rhode Island"
"007","Connecticut",FALSE,"Connecticut"
"008","New Jersey",FALSE,"New Jersey"
"010","North mid-Atlantic states",FALSE,"North mid-Atlantic states"
"011","New York",FALSE,"New York"
"014","Pennsylvania",FALSE,"Pennsylvania"
"017","Delaware",FALSE,"Delaware"
"020","South mid-Atlantic states",FALSE,"South mid-Atlantic states"
"021","Maryland",FALSE,"Maryland"
"022","District of Columbia",FALSE,"District of Columbia"
"023","Virginia",FALSE,"Virginia"
"024","West Virginia",FALSE,"West Virginia"
"025","North Carolina",FALSE,"North Carolina"
"026","South Carolina",FALSE,"South Carolina"
"030","Southeastern states",FALSE,"Southeastern states"
"031","Tennessee",FALSE,"Tennessee"
"033","Georgia",FALSE,"Georgia"
"035","Florida",FALSE,"Florida"
"037","Alabama",FALSE,"Alabama"
"039","Mississippi",FALSE,"Mississippi"
"040","North central states",FALSE,"North central states"
"041","Michigan",FALSE,"Michigan"
"043","Ohio",FALSE,"Ohio"
"045","Indiana",FALSE,"Indiana"
"047","Kentucky",FALSE,"Kentucky"
"050","Northern Midwest states",FALSE,"Northern Midwest states"
"051","Wisconsin",FALSE,"Wisconsin"
"052","Minnesota",FALSE,"Minnesota"
"053","Iowa",FALSE,"Iowa"
"054","North Dakota",FALSE,"North Dakota"
"055","South Dakota",FALSE,"South Dakota"
"056","Montana",FALSE,"Montana"
"060","central Midwest states",FALSE,"central Midwest states"
"061","Illinois",FALSE,"Illinois"
"063","Missouri",FALSE,"Missouri"
"065","Kansas",FALSE,"Kansas"
"067","Nebraska",FALSE,"Nebraska"
"070","Southern Midwest states",FALSE,"Southern Midwest states"
"071","Arkansas",FALSE,"Arkansas"
"073","Louisiana",FALSE,"Louisiana"
"075","Oklahoma",FALSE,"Oklahoma"
"077","Texas",FALSE,"Texas"
"080","mountain states",FALSE,"mountain states"
"081","Idaho",FALSE,"Idaho"
"082","Wyoming",FALSE,"Wyoming"
"083","Colorado",FALSE,"Colorado"
"084","Utah",FALSE,"Utah"
"085","Nevada",FALSE,"Nevada"
"086","New Mexico",FALSE,"New Mexico"
"087","Arizona",FALSE,"Arizona"
"090","Pacific Coast states",FALSE,"Pacific Coast states"
"091","Alaska",FALSE,"Alaska"
"093","Washington",FALSE,"Washington"
"095","Oregon",FALSE,"Oregon"
"097","California",FALSE,"California"
"099","Hawaii",FALSE,"Hawaii"
"100","Atlantic/Caribbean area, U.S. possessions",FALSE,"Atlantic/Caribbean area, U.S. possessions"
"101","Puerto Rico",FALSE,"Puerto Rico"
"102","U.S. Virgin Islands",FALSE,"U.S. Virgin Islands"
"109","Atlantic/Caribbean area, other U.S. possessions",FALSE,"Atlantic/Caribbean area, other U.S. possessions"
"120","Pacific area, U.S. possessions",FALSE,"Pacific area, U.S. possessions"
"121","American Samoa",FALSE,"American Samoa"
"122","Kiribati",FALSE,"Kiribati"
"123","Caroline Islands",FALSE,"Caroline Islands"
"124","Cook Islands",FALSE,"Cook Islands"
"125","Tuvalu",FALSE,"Tuvalu"
"126","Guam",FALSE,"Guam"
"129","Northern Mariana Islands",FALSE,"Northern Mariana Islands"
"131","Marshall Islands",FALSE,"Marshall Islands"
"133","Southern Nampo-shoto",FALSE,"Southern Nampo-shoto"
"134","Ryukyu Islands",FALSE,"Ryukyu Islands (Japan)"
"136","Tokelau",FALSE,"Tokelau"
"139","Palau",FALSE,"Palau"
"210","Greenland",FALSE,"Greenland"
"220","Canada",FALSE,"Canada"
"221","Prince Edward Island",FALSE,"Prince Edward Island"
"221","Nova Scotia",FALSE,"Nova Scotia"
"221","New Brunswick",FALSE,"New Brunswick"
"222","Quebec",FALSE,"Quebec"
"223","Ontario",FALSE,"Ontario"
"224","Saskatchewan",FALSE,"Saskatchewan"
"224","Manitoba",FALSE,"Manitoba"
"224","Alberta",FALSE,"Alberta"
"225","Northwest Territories",FALSE,"Northwest Territories (Canada)"
"226","British Columbia",FALSE,"British Columbia"
"230","Mexico",FALSE,"Mexico"
"240","North American islands",FALSE,"North American islands"
"241","Cuba",FALSE,"Cuba"
"242","Haiti",FALSE,"Haiti"
"243","Dominican Republic",FALSE,"Dominican Republic"
"244","Jamaica",FALSE,"Jamaica"
"245","British Virgin Islands",FALSE,"British Virgin Islands"
"245","Martinique",FALSE,"Martinique"
"245","Montserrat",FALSE,"Montserrat"
"245","St. Lucia",FALSE,"St. Lucia"
"245","Grenada",FALSE,"Grenada"
"245","Dominica",FALSE,"Dominica"
"245","Cayman Islands",FALSE,"Cayman Islands"
"245","Curacao",FALSE,"Curacao"
"245","Barbados",FALSE,"Barbados"
"245","Anguilla",FALSE,"Anguilla"
"245","Aruba",FALSE,"Aruba"
"246","Bermuda",FALSE,"Bermuda"
"247","Bahamas",FALSE,"Bahamas"
"249","St. Pierre and Miquelon",FALSE,"St. Pierre and Miquelon"
"250","Central America",FALSE,"Central America"
"251","Guatamala",FALSE,"Guatamala"
"252","Belize",FALSE,"Belize"
"253","Honduras",FALSE,"Honduras"
"254","El Salvador",FALSE,"El Salvador"
"255","Nicaragua",FALSE,"Nicaragua"
"256","Costa Rica",FALSE,"Costa Rica"
"257","Panama",FALSE,"Panama"
"260","North America, NOS",FALSE,"North America, NOS"
"300","South America, NOS",FALSE,"South America, NOS"
"311","Colombia",FALSE,"Colombia"
"321","Venezuela",FALSE,"Venezuela"
"331","Guyana",FALSE,"Guyana"
"332","Suriname",FALSE,"Suriname"
"333","French Guiana",FALSE,"French Guiana"
"341","Brazil",FALSE,"Brazil"
"345","Ecuador",FALSE,"Ecuador"
"351","Peru",FALSE,"Peru"
"355","Bolivia",FALSE,"Bolivia"
"361","Chile",FALSE,"Chile"
"365","Argentina",FALSE,"Argentina"
"371","Paraguay",FALSE,"Paraguay"
"375","Uruguay",FALSE,"Uruguay"
"380","South American islands",FALSE,"South American islands"
"381","Falkland Islands",FALSE,"Falkland Islands"
"400","United Kingdom, NOS",FALSE,"United Kingdom, NOS"
"401","Jersey",FALSE,"Jersey"
"401","Isle of Man",FALSE,"Isle of Man"
"401","Guernsey",FALSE,"Guernsey"
"401","England",FALSE,"England"
"402","Wales",FALSE,"Wales"
"403","Scotland",FALSE,"Scotland"
"404","Northern Ireland",FALSE,"Northern Ireland (Ulster)"
"410","Ireland",FALSE,"Ireland (Eire)"
"420","Lapland, NOS",FALSE,"Lapland, NOS"
"421","Iceland",FALSE,"Iceland"
"423","Norway",FALSE,"Norway"
"425","Denmark",FALSE,"Denmark"
"427","Sweden",FALSE,"Sweden"
"429","Finland",FALSE,"Finland"
"430","Germanic countries",FALSE,"Germanic countries"
"431","Germany",FALSE,"Germany"
"432","Netherlands",FALSE,"Netherlands"
"433","Belgium",FALSE,"Belgium"
"434","Luxembourg",FALSE,"Luxembourg"
"435","Switzerland",FALSE,"Switzerland"
"436","Austria",FALSE,"Austria"
"437","Liechtenstein",FALSE,"Liechtenstein"
"440","Romance-language countries",FALSE,"Romance-language countries"
"441","Monaco",FALSE,"Monaco"
"441","France",FALSE,"France"
"443","Spain",FALSE,"Spain"
"443","Andorra",FALSE,"Andorra"
"445","Portugal",FALSE,"Portugal"
"447","San Marino",FALSE,"San Marino"
"447","Italy",FALSE,"Italy"
"449","Romania",FALSE,"Romania"
"450","Slavic countries",FALSE,"Slavic countries"
"451","Poland",FALSE,"Poland"
"452","Slovakia",FALSE,"Slovakia"
"452","Czech Republic",FALSE,"Czech Republic"
"453","Slovenia",FALSE,"Slovenia"
"453","Serbia",FALSE,"Serbia"
"453","Montenegro",FALSE,"Montenegro"
"453","Macedonia",FALSE,"Macedonia"
"453","Croatia",FALSE,"Croatia"
"454","Bulgaria",FALSE,"Bulgaria"
"455","Russia",FALSE,"Russia"
"456","Ukraine",FALSE,"Ukraine"
"456","Moldova",FALSE,"Moldova"
"457","Belarus",FALSE,"Belarus"
"458","Estonia",FALSE,"Estonia"
"459","Latvia",FALSE,"Latvia"
"461","Lithuania",FALSE,"Lithuania"
"463","Baltic Republic, NOS",FALSE,"Baltic Republic, NOS"
"470","other mainland Europe",FALSE,"other mainland Europe"
"471","Greece",FALSE,"Greece"
"475","Hungary",FALSE,"Hungary"
"481","Albania",FALSE,"Albania"
"485","Gibraltar",FALSE,"Gibraltar"
"490","other Mediterranean Islands",FALSE,"other Mediterranean Islands"
"491","Malta",FALSE,"Malta"
"495","Cyprus",FALSE,"Cyprus"
"499","Europe, NOS",FALSE,"Europe, NOS"
"500","Africa, NOS",FALSE,"Africa, NOS"
"510","North Africa",FALSE,"North Africa"
"511","Morocco",FALSE,"Morocco"
"513","Algeria",FALSE,"Algeria"
"515","Tunisia",FALSE,"Tunisia"
"517","Libya",FALSE,"Libya"
"519","Egypt",FALSE,"Egypt"
"520","Chad",FALSE,"Chad"
"520","Niger",FALSE,"Niger"
"520","Mauritania",FALSE,"Mauritania"
