"code","label","means_missing","description"
"01","white",FALSE,"White"
"02","black",FALSE,"Black"
"03","Native American",FALSE,"American Indian, Aleutian, or Eskimo (includes all indigenous populations of the Western hemisphere)"
"04","Chinese",FALSE,"Chinese"
"05","Japanese",FALSE,"Japanese"
"06","Filipino",FALSE,"Filipino"
"07","Hawaiian",FALSE,"Hawaiian"
"08","Korean",FALSE,"Korean"
"10","Vietnamese",FALSE,"Vietnamese"
"11","Laotian",FALSE,"Laotian"
"12","Hmong",FALSE,"Hmong"
"13","Kampuchean",FALSE,"Kampuchean (Cambodian)"
"14","Thai",FALSE,"Thai"
"15","Asian Indian or Pakistani, NOS",FALSE,"Asian Indian or Pakistani, NOS (code 09 prior to Version 12)"
"16","Asian Indian",FALSE,"Asian Indian"
"17","Pakistani",FALSE,"Pakistani"
"20","Micronesian, NOS",FALSE,"Micronesian, NOS"
"21","Chamorro",FALSE,"Chamorro/Chamoru"
"22","Guamanian, NOS",FALSE,"Guamanian, NOS"
"25","Polynesian, NOS",FALSE,"Polynesian, NOS"
"26","Tahitian",FALSE,"Tahitian"
"27","Samoan",FALSE,"Samoan"
"28","Tongan",FALSE,"Tongan"
"30","Melanesian, NOS",FALSE,"Melanesian, NOS"
"31","Fiji Islander",FALSE,"Fiji Islander"
"32","New Guinean",FALSE,"New Guinean"
"88","no further race documented",FALSE,"No further race documented"
"96","other Asian",FALSE,"Other Asian, including Asian, NOS and Oriental, NOS"
"97","Pacific Islander, NOS",FALSE,"Pacific Islander, NOS"
"98","other",FALSE,"Other"
"99","unknown",TRUE,"Unknown"
