"code","label","means_missing","description"
"00","no radiation",FALSE,"No radiation therapy, not applicable"
"01","eye/orbit",FALSE,"Eye/orbit"
"02","pituitary",FALSE,"Pituitary"
"03","brain, NOS",FALSE,"Brain (NOS)"
"04","brain, limited",FALSE,"Brain (limited)"
"05","head and neck, NOS",FALSE,"Head and neck (NOS)"
"06","head and neck, limited",FALSE,"Head and neck (limited)"
"07","glottis",FALSE,"Glottis"
"08","sinuses",FALSE,"Sinuses"
"09","parotid",FALSE,"Parotid"
"10","chest/lung, NOS",FALSE,"Chest/lung (NOS)"
"11","lung, limited",FALSE,"Lung (limited)"
"12","esophagus",FALSE,"Esophagus"
"13","stomach",FALSE,"Stomach"
"14","liver",FALSE,"Liver"
"15","pancreas",FALSE,"Pancreas"
"16","kidney",FALSE,"Kidney"
"17","abdomen, NOS",FALSE,"Abdomen (NOS)"
"18","breast",FALSE,"Breast"
"19","breast/lymph nodes",FALSE,"Breast/lymph nodes"
"20","chest wall",FALSE,"Chest wall"
"21","chest wall/lymph nodes",FALSE,"Chest wall/lymph nodes"
"22","mantle",FALSE,"Mantle, mini-mantle"
"23","lower extended field",FALSE,"Lower extended field"
"24","spine",FALSE,"Spine"
"25","skull",FALSE,"Skull"
"26","ribs",FALSE,"Ribs"
"27","hip",FALSE,"Hip"
"28","pelvic bones",FALSE,"Pelvic bones"
"29","pelvis, NOS",FALSE,"Pelvis (NOS)"
"30","skin",FALSE,"Skin"
"31","soft tissue",FALSE,"Soft tissue"
"32","hemibody",FALSE,"Hemibody"
"33","whole body",FALSE,"Whole body"
"34","bladder and pelvis",FALSE,"Bladder and pelvis"
"35","prostate and pelvis",FALSE,"Prostate and pelvis"
"36","uterus and cervix",FALSE,"Uterus and Cervix"
"37","shoulder",FALSE,"Shoulder"
"38","extremities bone, NOS",FALSE,"Extremities bone, NOS"
"39","inverted Y",FALSE,"Inverted Y"
"40","spinal cord",FALSE,"Spinal cord"
"41","prostate",FALSE,"Prostate"
"50","thyroid",FALSE,"Thyroid"
"60","lymph node region, NOS",FALSE,"Lymph node region, NOS"
"98","other",FALSE,"Other"
"99","unknown",TRUE,"Unknown"
