"code","label","means_missing","description"
"00","none",FALSE,"No radiation treatment"
"01","external beam, NOS",FALSE,"External beam, NOS"
"02","low energy x-ray/photon therapy",FALSE,"Low energy x-ray/photon therapy"
"03","2-D therapy",FALSE,"2-D therapy"
"04","conformal therapy",FALSE,"Conformal or 3-D conformal therapy"
"05","intensity modulated therapy",FALSE,"Intensity modulated therapy"
"06","radiosurgery, NOS",FALSE,"Stereotactic radiotherapy or radiosurgery, NOS"
"07","radiosurgery, robotic.",FALSE,"Stereotactic radiotherapy or radiosurgery, robotic."
"08","radiosurgery, Gamma Knife",FALSE,"Stereotactic radiotherapy or radiosurgery, Gamma Knife®"
"09","CT-guided online adaptive therapy",FALSE,"CT-guided online adaptive therapy"
"10","MR-guided online adaptive therapy",FALSE,"MR-guided online adaptive therapy"
"88","not applicable",TRUE,"Not Applicable"
"98","other, NOS",FALSE,"Other, NOS"
"99","unknown",TRUE,"Unknown"
