"code","label","means_missing","description"
"00","none",FALSE,"No radiation treatment"
"01","external beam, NOS",FALSE,"External beam, NOS"
"02","external beam, photons",FALSE,"External beam, photons"
"03","external beam, protons",FALSE,"External beam, protons"
"04","external beam, electrons",FALSE,"External beam, electrons"
"05","external beam, neutrons",FALSE,"External beam, neutrons"
"06","external beam, carbon ions",FALSE,"External beam, carbon ions"
"07","brachytherapy, NOS",FALSE,"Brachytherapy, NOS"
"08","brachytherapy, intracavitary, LDR",FALSE,"Brachytherapy, intracavitary, LDR"
"09","brachytherapy, intracavitary, HDR",FALSE,"Brachytherapy, intracavitary, HDR"
"10","brachytherapy, interstitial, LDR",FALSE,"Brachytherapy, Interstitial, LDR"
"11","brachytherapy, interstitial, HDR",FALSE,"Brachytherapy, Interstitial, HDR"
"12","brachytherapy, electronic",FALSE,"Brachytherapy, electronic"
"13","radioisotopes, NOS",FALSE,"Radioisotopes, NOS"
"14","radioisotopes, radium-232",FALSE,"Radioisotopes, Radium-232"
"15","radioisotopes, strontium-89",FALSE,"Radioisotopes, Strontium-89"
"16","radioisotopes, strontium-90",FALSE,"Radioisotopes, Strontium-90"
"99","unknown",TRUE,"Treatment radiation modality unknown; Unknown if radiation treatment administered"
