"code","label","means_missing","description"
"00","no radiation treatment",FALSE,"No radiation treatment"
"01","neck lymph node regions",FALSE,"Neck lymph node regions"
"02","thoracic lymph node regions",FALSE,"Thoracic lymph node regions"
"03","neck and thoracic lymph node regions",FALSE,"Neck and thoracic lymph node regions"
"04","breast or chestwwall lymph node regions",FALSE,"Breast/ Chestwall lymph node regions"
"05","abdominal lymph nodes",FALSE,"Abdominal lymph nodes"
"06","pelvic lymph nodes",FALSE,"Pelvic lymph nodes"
"07","abdominal and pelvic lymph nodes",FALSE,"Abdominal and pelvic lymph nodes"
"09","lymph node region, NOS",FALSE,"Lymph node region, NOS"
"10","eye, orbit, or optic nerve",FALSE,"Eye/orbit/optic nerve"
"11","pituitary",FALSE,"Pituitary"
"12","brain",FALSE,"Brain"
"13","brain (Limited)",FALSE,"Brain (Limited)"
"14","spinal cord",FALSE,"Spinal cord"
"20","nasopharynx",FALSE,"Nasopharynx"
"21","oral Cavity",FALSE,"Oral Cavity"
"22","oropharynx",FALSE,"Oropharynx"
"23","larynx or hypopharynx",FALSE,"Larynx (glottis) or hypopharynx"
"24","sinuses or nasal tract",FALSE,"Sinuses/Nasal tract"
"25","parotid or other salivary glands",FALSE,"Parotid or other salivary glands"
"26","thyroid",FALSE,"Thyroid"
"29","head and neck, NOS",FALSE,"Head and neck (NOS)"
"30","lung or bronchus",FALSE,"Lung or bronchus"
"31","mesothelium",FALSE,"Mesothelium"
"32","thymus",FALSE,"Thymus"
"39","chest or lung, NOS",FALSE,"Chest/lung (NOS)"
"40","breast, whole",FALSE,"Breast - whole"
"41","breast, partial",FALSE,"Breast - partial"
"42","chest wall",FALSE,"Chest wall"
"50","esophagus",FALSE,"Esophagus"
"51","stomach",FALSE,"Stomach"
"52","small bowel",FALSE,"Small bowel"
"53","colon",FALSE,"Colon"
"54","rectum",FALSE,"Rectum"
"55","anus",FALSE,"Anus"
"56","liver",FALSE,"Liver"
"57","biliary tree or gallbladder",FALSE,"Biliary tree or gallbladder"
"58","pancreas or hepatopancreatic ampulla",FALSE,"Pancreas or hepatopancreatic ampulla"
"59","abdomen, NOS",FALSE,"Abdomen (NOS)"
"60","bladder, whole",FALSE,"Bladder - whole"
"61","bladder, partial",FALSE,"Bladder - partial"
"62","kidney",FALSE,"Kidney"
"63","ureter",FALSE,"Ureter"
"64","prostate, whole",FALSE,"Prostate - whole"
"65","prostate, partial",FALSE,"Prostate - partial"
"66","urethra",FALSE,"Urethra"
"67","penis",FALSE,"Penis"
"68","testicle or scrotum",FALSE,"Testicle or scrotum"
"70","ovaries or fallopian tubes",FALSE,"Ovaries or fallopian tubes"
"71","uterus or cervix",FALSE,"Uterus or Cervix"
"72","vagina",FALSE,"Vagina"
"73","vulva",FALSE,"Vulva"
"80","skull",FALSE,"Skull"
"81","spine or vertebral bodies",FALSE,"Spine/vertebral bodies"
"82","shoulder",FALSE,"Shoulder"
"83","ribs",FALSE,"Ribs"
"84","hip",FALSE,"Hip"
"85","pelvic bones",FALSE,"Pelvic bones"
"86","pelvis, NOS",FALSE,"Pelvis (NOS, non-visceral)"
"88","extremity bone, NOS",FALSE,"Extremity bone, NOS"
"90","skin",FALSE,"Skin"
"91","soft tissue",FALSE,"Soft tissue"
"92","hemibody",FALSE,"Hemibody"
"93","whole body",FALSE,"Whole body"
"94","mantle or mini-mantle",FALSE,"Mantle, mini-mantle (obsolete after 2017)"
"95","lower extended field",FALSE,"Lower extended field (obsolete after 2017)"
"96","inverted Y",FALSE,"Inverted Y (obsolete after 2017)"
"97","invalid historical FORDS value",TRUE,"Invalid historical FORDS value"
"98","other",FALSE,"Other"
"99","unknown",TRUE,"Unknown"
