"code","label","means_missing","description"
"00","no recurrence, disease-free",FALSE,"Patient became disease-free after treatment and has not had a recurrence; leukemia in remission."
"04","in situ recurrence of invasive",FALSE,"In situ recurrence of an invasive tumor."
"06","in situ recurrence of in situ",FALSE,"In situ recurrence of an in situ tumor."
"10","local recurrence, NOS",FALSE,"Local recurrence and there is insufficient information available to code to 13-17. Recurrence is confined to the remnant of the organ of origin; to the organ of origin; to the anastomosis; or to scar tissue where the organ previously existed."
"13","local recurrence of invasive",FALSE,"Local recurrence of an invasive tumor."
"14","trocar recurrence of invasive",FALSE,"Trocar recurrence of an invasive tumor. Includes recurrence in the trocar path or entrance site following prior surgery."
"15","local and trocar recurrence of invasive",FALSE,"Both local and trocar recurrence of an invasive tumor (both 13 and 14)"
"16","local recurrence of in situ",FALSE,"Local recurrence of an in situ tumor."
"17","local and trocar recurrence of in situ",FALSE,"Both local and trocar recurrence of an in situ tumor."
"20","regional recurrence, NOS",FALSE,"Regional recurrence, and there is insufficient information available to code to 21-27."
"21","regional recurrence of invasive, adjacent tissue",FALSE,"Recurrence of an invasive tumor in adjacent tissue or organ(s) only."
"22","regional recurrence of invasive, regional lymph nodes",FALSE,"Recurrence of an invasive tumor in regional lymph nodes only."
"25","regional recurrence of invasive, adjacent tissue and regional lymph nodes",FALSE,"Recurrence of an invasive tumor in adjacent tissue or organ(s) and in regional lymph nodes (both 21 and 22) at the same time."
"26","regional recurrence of in situ, NOS.",FALSE,"Regional recurrence of an in situ tumor, NOS."
"27","regional recurrence of in situ, adjacent tissue and regional lymph nodes",FALSE,"Recurrence of an in situ tumor in adjacent tissue or organ(s) and in regional lymph nodes at the same time."
"30","regional and local/trocar recurrence of invasive",FALSE,"Both regional recurrence of an invasive tumor in adjacent tissue or organ(s) and/or regional lymph nodes (20-25) and local and/or trocar recurrence (10, 13, 14, or 15)."
"36","regional and local/trocar recurrence of in situ",FALSE,"Both regional recurrence of anin situ tumor in adjacent tissue or organ(s) and/or regional lymph nodes (26 or 27) and local and/or trocar recurrence (16 or 17)."
"40","distant recurrence, NOS",FALSE,"Distant recurrence and there is insufficient information available to code to 46-62."
"46","distant recurrence of in situ",FALSE,"Distant recurrence of an in situ tumor."
"51","distant recurrence of invasive, peritoneum only",FALSE,"Distant recurrence of an invasive tumor in the peritoneum only. Peritoneum includes peritoneal surfaces of all structures within the abdominal cavity and/or positive ascitic fluid."
"52","distant recurrence of invasive, lung only",FALSE,"Distant recurrence of an invasive tumor in the lung only. Lung includes the visceral pleura."
"53","distant recurrence of invasive, pleura only",FALSE,"Distant recurrence of an invasive tumor in the pleura only. Pleura includes the pleural surface of all structures within the thoracic cavity and/or positive pleural fluid."
"54","distant recurrence of invasive, liver only.",FALSE,"Distant recurrence of an invasive tumor in the liver only."
"55","distant recurrence of invasive, bone only",FALSE,"Distant recurrence of an invasive tumor in bone only. This includes bones other than the primary site."
"56","distant recurrence of invasive, CNS only",FALSE,"Distant recurrence of an invasive tumor in the CNS only. This includes the brain and spinal cord, but not the external eye."
"57","distant recurrence of invasive, skin only",FALSE,"Distant recurrence of an invasive tumor in the skin only. This includes skin other than the primary site."
"58","distant recurrence of invasive, lymph node only",FALSE,"Distant recurrence of an invasive tumor in lymph node only. Refer to the staging scheme for a description of lymph nodes that are distant for a particular site."
"59","distant recurrence of invasive, systemic only",FALSE,"Distant systemic recurrence of an invasive tumor only. This includes leukemia, bone marrow metastasis, carcinomatosis, and generalized disease."
"60","single distant and local/trocar/regional recurrence of invasive",FALSE,"Distant recurrence of an invasive tumor in a single distant site (51-58) and local, trocar, and/or regional recurrence (10-15, 20-25, or 30)."
"62","multiple distant recurrence of invasive",FALSE,"Distant recurrence of an invasive tumor in multiple sites (recurrences that can be coded to more than one category 51-59)."
"70","never disease-free",FALSE,"Since diagnosis, patient has never been disease-free. This includes cases with distant metastasis at diagnosis, systemic disease, unknown primary, or minimal disease that is not treated."
"88","recurrence, NOS",FALSE,"Disease has recurred, but the type of recurrence is unknown."
"99","unknown",TRUE,"It is unknown whether the disease has recurred or if the patient was ever disease-free."
