"code","label","means_missing","description"
"A000","no reconstruction",FALSE,"No immediate reconstruction was performed at this facility"
"A100","tissue expanded placement",FALSE,"Tissue expanders were placed without implant or tissue placement"
"A200","direct to implant placement",FALSE,"Permanent implant is placed immediately following resection"
"A300","oncoplastic tissue rearrangement",FALSE,"Reconstruction performed with parenchymal flap or adjacent tissue transfer"
"A400","oncoplastic reduction or mastopexy",FALSE,"Breast conserving resection and a breast reduction/lift is performed"
"A500","oncoplastic reconstruction with regional tissue flaps",FALSE,"Breast conserving resection and reconstruction is performed with skin flaps"
"A600","mastectomy reconstruction with autologous tissue, source not specified",FALSE,"Autologous tissue source is unknown or not specified"
"A610","mastectomy reconstruction with abdominal tissue",FALSE,"Mastectomy reconstruction with abdominal tissue"
"A620","mastectomy reconstruction with thigh tissue",FALSE,"Mastectomy reconstruction with thigh tissue"
"A630","mastectomy reconstruction with gluteal tissue",FALSE,"Mastectomy reconstruction with gluteal tissue"
"A640","mastectomy reconstruction with back tissue",FALSE,"Mastectomy reconstruction with back tissue"
"A900","reconstruction performed, method unknown",FALSE,"Reconstruction performed, method unknown"
"A970","implant based reconstruction, NOS",FALSE,"Implant based reconstruction, NOS"
"A980","autologous tissue-based reconstruction, NOS",FALSE,"Autologous tissue-based reconstruction, NOS"
"A990","unknown",TRUE,"Unknown if immediate reconstruction was performed"
