"code","label","means_missing","description"
"00","none",FALSE,"None, chemotherapy was not part of the first course of therapy or there was progression of disease prior to administration; Not customary therapy for this cancer. Diagnosed at autopsy."
"01","administered, NOS",FALSE,"Chemotherapy was administered, but type and number of agents is not documented in patient record."
"02","administered, single agent",FALSE,"Chemotherapy, single agent."
"03","chemotherapy, multiple agents",FALSE,"Chemotherapy, multiple agents."
"82","not administered, patient risk factors",FALSE,"Chemotherapy was not recommended/administered because it was contraindicated due to patient risk factors (comorbid conditions, advanced age) or there was progression of disease prior to planned administration."
"85","not administered, patient death",FALSE,"Chemotherapy was not administered because the patient died prior to planned or recommended therapy."
"86","recommended, not administered, NOS",FALSE,"Chemotherapy was recommended by the patient's physician, but was not administered as part of first-course therapy. No reason was stated in the patient record."
"87","recommended, refused",FALSE,"Chemotherapy was not administered; it was recommended by the patient's physician, but this treatment was refused by the patient, the patient's family member, or the patient's guardian. The refusal was noted in the patient record."
"88","recommended, unknown if administered",FALSE,"Chemotherapy was recommended, but it is unknown if it was administered."
"99","unknown",TRUE,"It is unknown whether a chemotherapeutic agent(s) was recommended or administered because it is not stated in patient record; death certificate-only cases."
