"code","label","description"
"0","none","No SEER coding"
"1","pre-1988","Pre-1988 SEER Coding Manuals"
"2","1988","1988 SEER Coding Manual"
"3","1989","1989 SEER Coding Manual"
"4","1992","1992 SEER Coding Manual"
"5","1998","1998 SEER Coding Manual"
"6","2003","2003 SEER Coding Manual"
"7","2004","2004 SEER Coding Manual"
"8","2007","2007 SEER Coding Manual"
"9","2008","2007 SEER Coding Manual with 2008 changes"
"A","2010","2010 SEER Coding Manual"
"B","2011","2011 SEER Coding Manual"
"C","2012","2012 SEER Coding Manual"
"D","2013","2013 SEER Coding Manual"
"E","2014","2014 SEER Coding Manual"
"F","2015","2015 SEER Coding Manual"
"G","2016","2016 SEER Coding Manual"
