"code","label","means_missing","description"
"0","not Spanish or Hispanic",FALSE,"Non-Spanish; non-Hispanic"
"1","Mexican",FALSE,"Mexican (includes Chicano)"
"2","Puerto Rican",FALSE,"Puerto Rican"
"3","Cuban",FALSE,"Cuban"
"4","South or Central American",FALSE,"South or Central American (except Brazil)"
"5","other, specified",FALSE,"Other specified Spanish/Hispanic origin (includes European; excludes Dominican Republic)"
"6","other, NOS",FALSE,"Spanish, NOS Hispanic, NOS Latino, NOS There is evidence, other than surname or maiden name, that the person is Hispanic, but he/she cannot be assigned to any of the other categories 1-5."
"7","Spanish surname only",FALSE,"Spanish surname only (Code 7 is ordinarily for central registry use only, hospital registrars may use code 7 if using a list of Hispanic surnames provided by their central registry; otherwise, code 9 'unknown whether Spanish or not' should be used.) The only evidence of the person's Hispanic origin is the surname or maiden name and there is no contrary evidence that the person is not Hispanic."
"8","Dominican Republic",FALSE,"Dominican Republic"
"9","unknown",TRUE,"Unknown whether Spanish or not"
