"code","label","means_missing","description"
"1","site-specific",FALSE,"Site-specific grade system category"
"2","site-specific",FALSE,"Site-specific grade system category"
"3","site-specific",FALSE,"Site-specific grade system category"
"4","site-specific",FALSE,"Site-specific grade system category"
"5","site-specific",FALSE,"Site-specific grade system category"
"8","not applicable",FALSE,"Not applicable (Hematopoietic neoplasms only)"
"9","unknown",TRUE,"Grade cannot be assessed; Unknown"
"A","well differentiated",FALSE,"Well differentiated"
"B","moderately differentiated",FALSE,"Moderately differentiated"
"C","poorly differentiated",FALSE,"Poorly differentiated"
"D","undifferentiated and anaplastic",FALSE,"Undifferentiated and anaplastic"
"E","site-specific",FALSE,"Site-specific grade system category"
"H","high",FALSE,"High grade"
"L","low",FALSE,"Low grade"
"M","site-specific",FALSE,"Site-specific grade system category"
"S","site-specific",FALSE,"Site-specific grade system category"
