"code","label","means_missing","description"
"00","not staged",FALSE,"Not staged (cases that have AJCC staging scheme and staging was not done)"
"01","first edition",FALSE,"First Edition"
"02","second edition",FALSE,"Second Edition (published 1983)"
"03","third edition",FALSE,"Third Edition (published 1988)"
"04","fourth edition",FALSE,"Fourth Edition (published 1992), recommended for use for cases diagnosed 1993-1997"
"05","fifth edition",FALSE,"Fifth Edition (published 1997), recommended for use for cases diagnosed 1998-2002"
"06","sixth edition",FALSE,"Sixth Edition (published 2002), recommended for use for cases diagnosed 2003-2009"
"07","seventh edition",FALSE,"Seventh Edition (published 2009), recommended for use with cases diagnosed 2010+"
"88","not applicable",TRUE,"Not applicable (cases that do not have an AJCC staging scheme)"
"99","unknown",TRUE,"Edition unknown"
