"code","label","means_missing","description"
"00","not applicable",FALSE,"Not applicable"
"01","Flagstaff",FALSE,"Flagstaff"
"02","Phoenix",FALSE,"Phoenix"
"03","Tucson",FALSE,"Tucson"
"04","Bakersfield",FALSE,"Bakersfield"
"05","Fresno",FALSE,"Fresno"
"06","Los Angeles",FALSE,"Los Angeles"
"07","Oakland",FALSE,"Oakland"
"08","Sacramento",FALSE,"Sacramento"
"09","San Diego",FALSE,"San Diego"
"10","San Jose",FALSE,"San Jose"
"11","Santa Barbara",FALSE,"Santa Barbara"
"12","Denver",FALSE,"Denver"
"13","Chicago",FALSE,"Chicago"
"14","Lincoln/Omaha",FALSE,"Lincoln/Omaha"
"15","Wichita",FALSE,"Wichita"
"16","Jamaica Plain",FALSE,"Jamaica Plain"
"17","Detroit",FALSE,"Detroit"
"18","Minneapolis/St. Paul",FALSE,"Minneapolis/St. Paul"
"19","Billings",FALSE,"Billings"
"20","Butte",FALSE,"Butte"
"21","Great Falls",FALSE,"Great Falls"
"22","Helena",FALSE,"Helena"
"23","Missoula",FALSE,"Missoula"
"24","Reno",FALSE,"Reno"
"25","Albuquerque",FALSE,"Albuquerque"
"26","New York",FALSE,"New York"
"27","Portland",FALSE,"Portland"
"28","Pierre/Sioux Falls",FALSE,"Pierre/Sioux Falls"
"29","Dallas",FALSE,"Dallas"
"30","Salt Lake City",FALSE,"Salt Lake City"
"31","Seattle",FALSE,"Seattle"
"32","Spokane",FALSE,"Spokane"
"33","Green Bay",FALSE,"Green Bay"
"34","Milwaukee",FALSE,"Milwaukee"
"35","Kansas City",FALSE,"Kansas City"
"36","Oklahoma City",FALSE,"Oklahoma City"
"37","Tulsa",FALSE,"Tulsa"
"38","San Francisco",FALSE,"San Francisco"
"39","Boston",FALSE,"Boston"
"40","Baltimore",FALSE,"Baltimore"
"41","Anchorage",FALSE,"Anchorage"
"42","Akron",FALSE,"Akron"
"43","Bismark",FALSE,"Bismark"
"44","Buffalo",FALSE,"Buffalo"
"45","Indianapolis",FALSE,"Indianapolis"
"46","San Antonio",FALSE,"San Antonio"
"47","St. Louis",FALSE,"St. Louis"
"48","Riverside",FALSE,"Riverside"
"49","Sawyer",FALSE,"Sawyer"
"50","Eureka",FALSE,"Eureka"
"51","Manteca",FALSE,"Manteca"
"52","Fountain Valley",FALSE,"Fountain Valley"
