"code","label","means_missing","description"
"CSK","Czechoslovakia (former)",FALSE,"Czechoslovakia (former)"
"ENG","England",FALSE,"England"
"NIR","Northern Ireland",FALSE,"Northern Ireland"
"SCT","Scotland",FALSE,"Scotland"
"WLS","Wales",FALSE,"Wales"
"XAP","Arabian Peninsula",FALSE,"Arabian Peninsula"
"XCB","Other Caribbean Islands",FALSE,"Other Caribbean Islands"
"XCH","China, NOS",FALSE,"China, NOS"
"XCR","Caucasian Republics of former USSR",FALSE,"Caucasian Republics of former USSR"
"XEF","East Africa",FALSE,"East Africa"
"XEN","England, Channel islands, Isle of Man",FALSE,"England, Channel islands, Isle of Man"
"XET","Ethiopia and Eritrea",FALSE,"Ethiopia and Eritrea"
"XGR","Germanic Countries",FALSE,"Germanic Countries"
"XIF","African Islands",FALSE,"African Islands"
"XIS","Israel and Palestine",FALSE,"Israel and Palestine"
"XMC","Micronesian Islands",FALSE,"Micronesian Islands"
"XML","Melanesian Islands",FALSE,"Melanesian Islands"
"XMS","Malaysia, Singapore, Brunei",FALSE,"Malaysia, Singapore, Brunei"
"XNF","North Africa",FALSE,"North Africa"
"XNI","North American Islands",FALSE,"North American Islands"
"XOR","other Asian Republics of former USSR",FALSE,"Other Asian Republics of former USSR"
"XPL","Polynesian Islands",FALSE,"Polynesian Islands"
"XSC","Scandinavia",FALSE,"Scandinavia"
"XSD","Sudanese Countries",FALSE,"Sudanese Countries"
"XSE","Southeast Asia",FALSE,"Southeast Asia"
"XSF","South Africa",FALSE,"South Africa"
"XSL","Slavic Countries",FALSE,"Slavic Countries"
"XUM","Ukraine and Moldova",FALSE,"Ukraine and Moldova"
"XWF","West Africa",FALSE,"West Africa"
"YUG","Yugoslavia",FALSE,"Yugoslavia"
"ZZA","Asia, NOS",FALSE,"Asia, NOS"
"ZZC","Central America, NOS",FALSE,"Central America, NOS"
"ZZE","Europe, NOS",FALSE,"Europe, NOS"
"ZZF","Africa, NOS",FALSE,"Africa, NOS"
"ZZN","North America, NOS",FALSE,"North America, NOS"
"ZZP","Pacific, NOS",FALSE,"Pacific, NOS"
"ZZS","South America, NOS",FALSE,"South America, NOS"
"ZZU","unknown",TRUE,"Unknown"
"ZZX","non-US, NOS",FALSE,"Non-US, NOS"
