"item","name","type"
10,"recordType","factor"
20,"patientIdNumber","character"
21,"patientSystemIdHosp","character"
30,"registryType","factor"
35,"finCodingSystem","character"
37,"reserved00","character"
40,"registryId","facility"
45,"npiRegistryId","character"
50,"naaccrRecordVersion","factor"
60,"tumorRecordNumber","character"
70,"addrAtDxCity","city"
80,"addrAtDxState","factor"
81,"stateAtDxGeocode19708090","character"
82,"stateAtDxGeocode2000","character"
83,"stateAtDxGeocode2010","character"
84,"stateAtDxGeocode2020","character"
89,"countyAtDxAnalysis","county"
90,"countyAtDx","county"
94,"countyAtDxGeocode1990","county"
95,"countyAtDxGeocode2000","county"
96,"countyAtDxGeocode2010","county"
97,"countyAtDxGeocode2020","county"
100,"addrAtDxPostalCode","postal"
102,"addrAtDxCountry","factor"
110,"censusTract19708090","census_tract"
120,"censusCodSys19708090","factor"
125,"censusTract2020","census_tract"
130,"censusTract2000","census_tract"
135,"censusTract2010","census_tract"
145,"censusTrPovertyIndictr","factor"
150,"maritalStatusAtDx","factor"
160,"race1","factor"
161,"race2","factor"
162,"race3","factor"
163,"race4","factor"
164,"race5","factor"
170,"raceCodingSysCurrent","factor"
180,"raceCodingSysOriginal","factor"
190,"spanishHispanicOrigin","factor"
191,"nhiaDerivedHispOrigin","factor"
192,"ihsLink","boolean01"
193,"raceNapiia","factor"
200,"computedEthnicity","factor"
210,"computedEthnicitySource","factor"
220,"sex","factor"
230,"ageAtDiagnosis","age"
240,"dateOfBirth","Date"
241,"dateOfBirthFlag","character"
250,"birthplace","factor"
252,"birthplaceState","factor"
254,"birthplaceCountry","factor"
270,"censusOccCode19702000","factor"
272,"censusIndCode2010","factor"
280,"censusIndCode19702000","factor"
282,"censusOccCode2010","factor"
290,"occupationSource","factor"
300,"industrySource","factor"
310,"textUsualOccupation","character"
320,"textUsualIndustry","character"
330,"censusOccIndSys7000","factor"
339,"ruca2000","factor"
341,"ruca2010","factor"
345,"uric2000","factor"
346,"uric2010","factor"
351,"geolocationid19708090","character"
352,"geolocationid2000","character"
353,"geolocationid2010","character"
354,"geolocationid2020","character"
361,"censusBlockGroup2020","census_block"
362,"censusBlockGroup2000","census_block"
363,"censusBlockGroup2010","census_block"
364,"censusTrCert19708090","factor"
365,"censusTrCertainty2000","factor"
366,"gisCoordinateQuality","factor"
367,"censusTrCertainty2010","factor"
368,"censusBlockGrp197090","census_block"
369,"censusTractCertainty2020","factor"
370,"reserved01","character"
380,"sequenceNumberCentral","sentineled_integer"
390,"dateOfDiagnosis","Date"
391,"dateOfDiagnosisFlag","character"
400,"primarySite","character"
410,"laterality","factor"
420,"histologyIcdO2","character"
430,"behaviorIcdO2","character"
439,"dateOfMultTumorsFlag","character"
440,"grade","factor"
441,"gradePathValue","factor"
442,"ambiguousTerminologyDx","factor"
443,"dateConclusiveDx","Date"
444,"multTumRptAsOnePrim","factor"
445,"dateOfMultTumors","Date"
446,"multiplicityCounter","sentineled_integer"
448,"dateConclusiveDxFlag","character"
449,"gradePathSystem","factor"
450,"siteCodingSysCurrent","factor"
460,"siteCodingSysOriginal","factor"
470,"morphCodingSysCurrent","factor"
480,"morphCodingSysOriginl","factor"
490,"diagnosticConfirmation","factor"
500,"typeOfReportingSource","factor"
501,"casefindingSource","factor"
522,"histologicTypeIcdO3","character"
523,"behaviorCodeIcdO3","character"
530,"reserved02","character"
540,"reportingFacility","facility"
545,"npiReportingFacility","character"
550,"accessionNumberHosp","character"
560,"sequenceNumberHospital","sentineled_integer"
570,"abstractedBy","character"
580,"dateOf1stContact","Date"
581,"dateOf1stContactFlag","character"
590,"dateOfInptAdm","Date"
591,"dateOfInptAdmFlag","character"
600,"dateOfInptDisch","Date"
601,"dateOfInptDischFlag","character"
605,"inpatientStatus","boolean01"
610,"classOfCase","factor"
630,"primaryPayerAtDx","factor"
668,"rxHospSurgApp2010","factor"
670,"rxHospSurgPrimSite","character"
672,"rxHospScopeRegLnSur","factor"
674,"rxHospSurgOthRegDis","factor"
676,"rxHospRegLnRemoved","sentineled_integer"
680,"reserved03","character"
682,"dateRegionalLymphNodeDissection","Date"
683,"dateRegionalLymphNodeDissectionFlag","character"
690,"rxHospRadiation","factor"
700,"rxHospChemo","factor"
710,"rxHospHormone","factor"
720,"rxHospBrm","factor"
730,"rxHospOther","factor"
740,"rxHospDxStgProc","factor"
746,"rxHospSurgSite9802","character"
747,"rxHospScopeReg9802","character"
748,"rxHospSurgOth9802","character"
750,"reserved04","character"
752,"tumorSizeClinical","sentineled_integer"
754,"tumorSizePathologic","sentineled_integer"
756,"tumorSizeSummary","sentineled_integer"
759,"seerSummaryStage2000","factor"
760,"seerSummaryStage1977","factor"
762,"derivedSummaryStage2018","factor"
764,"summaryStage2018","factor"
772,"eodPrimaryTumor","character"
774,"eodRegionalNodes","character"
776,"eodMets","character"
780,"eodTumorSize","character"
785,"derivedEod2018T","character"
790,"eodExtension","character"
795,"derivedEod2018M","character"
800,"eodExtensionProstPath","character"
810,"eodLymphNodeInvolv","character"
815,"derivedEod2018N","character"
818,"derivedEod2018StageGroup","character"
820,"regionalNodesPositive","sentineled_integer"
830,"regionalNodesExamined","sentineled_integer"
832,"dateOfSentinelLymphNodeBiopsy","Date"
833,"dateSentinelLymphNodeBiopsyFlag","character"
834,"sentinelLymphNodesExamined","sentineled_integer"
835,"sentinelLymphNodesPositive","sentineled_integer"
840,"eodOld13Digit","character"
850,"eodOld2Digit","character"
860,"eodOld4Digit","character"
870,"codingSystemForEod","factor"
880,"tnmPathT","character"
890,"tnmPathN","character"
900,"tnmPathM","character"
910,"tnmPathStageGroup","character"
920,"tnmPathDescriptor","factor"
930,"tnmPathStagedBy","factor"
940,"tnmClinT","character"
950,"tnmClinN","character"
960,"tnmClinM","character"
970,"tnmClinStageGroup","character"
980,"tnmClinDescriptor","factor"
990,"tnmClinStagedBy","factor"
995,"ajccId","character"
1001,"ajccTnmClinT","character"
1002,"ajccTnmClinN","character"
1003,"ajccTnmClinM","character"
1004,"ajccTnmClinStageGroup","character"
1011,"ajccTnmPathT","character"
1012,"ajccTnmPathN","character"
1013,"ajccTnmPathM","character"
1014,"ajccTnmPathStageGroup","character"
1021,"ajccTnmPostTherapyT","character"
1022,"ajccTnmPostTherapyN","character"
1023,"ajccTnmPostTherapyM","character"
1024,"ajccTnmPostTherapyStageGroup","character"
1031,"ajccTnmClinTSuffix","character"
1032,"ajccTnmPathTSuffix","character"
1033,"ajccTnmPostTherapyTSuffix","character"
1034,"ajccTnmClinNSuffix","character"
1035,"ajccTnmPathNSuffix","character"
1036,"ajccTnmPostTherapyNSuffix","character"
1060,"tnmEditionNumber","factor"
1112,"metsAtDxBone","boolean01"
1113,"metsAtDxBrain","boolean01"
1114,"metsAtDxDistantLn","boolean01"
1115,"metsAtDxLiver","boolean01"
1116,"metsAtDxLung","boolean01"
1117,"metsAtDxOther","boolean01"
1120,"pediatricStage","character"
1130,"pediatricStagingSystem","factor"
1140,"pediatricStagedBy","factor"
1150,"tumorMarker1","factor"
1160,"tumorMarker2","factor"
1170,"tumorMarker3","factor"
1180,"reserved05","character"
1182,"lymphVascularInvasion","boolean01"
1190,"reserved06","character"
1200,"rxDateSurgery","Date"
1201,"rxDateSurgeryFlag","character"
1210,"rxDateRadiation","Date"
1211,"rxDateRadiationFlag","character"
1220,"rxDateChemo","Date"
1221,"rxDateChemoFlag","character"
1230,"rxDateHormone","Date"
1231,"rxDateHormoneFlag","character"
1240,"rxDateBrm","Date"
1241,"rxDateBrmFlag","character"
1250,"rxDateOther","Date"
1251,"rxDateOtherFlag","character"
1260,"dateInitialRxSeer","Date"
1261,"dateInitialRxSeerFlag","character"
1270,"date1stCrsRxCoc","Date"
1271,"date1stCrsRxCocFlag","character"
1280,"rxDateDxStgProc","Date"
1281,"rxDateDxStgProcFlag","character"
1285,"rxSummTreatmentStatus","factor"
1290,"rxSummSurgPrimSite","character"
1292,"rxSummScopeRegLnSur","factor"
1294,"rxSummSurgOthRegDis","factor"
1296,"rxSummRegLnExamined","sentineled_integer"
1300,"reserved07","character"
1310,"rxSummSurgicalApproch","character"
1320,"rxSummSurgicalMargins","factor"
1330,"rxSummReconstruct1st","character"
1340,"reasonForNoSurgery","factor"
1350,"rxSummDxStgProc","factor"
1360,"rxSummRadiation","factor"
1370,"rxSummRadToCns","factor"
1380,"rxSummSurgRadSeq","factor"
1390,"rxSummChemo","factor"
