"naaccr_version","item","name","start_col","end_col","alignment","padding_char"
12,10,"Record Type",1,1,"left"," "
12,20,"Patient ID Number",42,49,"right","0"
12,21,"Patient System ID-Hosp",50,57,"right","0"
12,30,"Registry Type",2,2,"left"," "
12,40,"Registry ID",30,39,"right","0"
12,45,"NPI--Registry ID",20,29,"left"," "
12,50,"NAACCR Record Version",17,19,"left"," "
12,60,"Tumor Record Number",40,41,"right","0"
12,70,"Addr at DX--City",95,144,"left"," "
12,80,"Addr at DX--State",145,146,"left"," "
12,90,"County at DX",156,158,"right","0"
12,100,"Addr at DX--Postal Code",147,155,"left"," "
12,110,"Census Tract 1970/80/90",159,164,"right","0"
12,120,"Census Cod Sys 1970/80/90",166,166,"left"," "
12,130,"Census Tract 2000",168,173,"right","0"
12,135,"Census Tract 2010",428,433,"left"," "
12,150,"Marital Status at DX",176,176,"left"," "
12,160,"Race 1",177,178,"right","0"
12,161,"Race 2",179,180,"right","0"
12,162,"Race 3",181,182,"right","0"
12,163,"Race 4",183,184,"right","0"
12,164,"Race 5",185,186,"right","0"
12,170,"Race Coding Sys--Current",187,187,"left"," "
12,180,"Race Coding Sys--Original",188,188,"left"," "
12,190,"Spanish/Hispanic Origin",189,189,"left"," "
12,191,"NHIA Derived Hisp Origin",418,418,"left"," "
12,192,"IHS Link",421,421,"left"," "
12,193,"Race--NAPIIA(derived API)",419,420,"right","0"
12,200,"Computed Ethnicity",190,190,"left"," "
12,210,"Computed Ethnicity Source",191,191,"left"," "
12,220,"Sex",192,192,"left"," "
12,230,"Age at Diagnosis",193,195,"right","0"
12,240,"Date of Birth",196,203,"left"," "
12,241,"Date of Birth Flag",204,205,"left"," "
12,250,"Birthplace",206,208,"right","0"
12,270,"Occupation Code--Census",209,211,"right","0"
12,280,"Industry Code--Census",212,214,"right","0"
12,290,"Occupation Source",215,215,"left"," "
12,300,"Industry Source",216,216,"left"," "
12,310,"Text--Usual Occupation",217,316,"left"," "
12,320,"Text--Usual Industry",317,416,"left"," "
12,330,"Occup/Ind Coding System",417,417,"left"," "
12,362,"Census Block Group 2000",174,174,"left"," "
12,363,"Census Block Group 2010",434,434,"left"," "
12,364,"Census Tr Cert 1970/80/90",167,167,"left"," "
12,365,"Census Tr Certainty 2000",175,175,"left"," "
12,366,"GIS Coordinate Quality",422,423,"left"," "
12,367,"Census Tr Certainty 2010",435,435,"left"," "
12,368,"CensusBlockGroup 70/80/90",165,165,"left"," "
12,380,"Sequence Number--Central",528,529,"right","0"
12,390,"Date of Diagnosis",530,537,"left"," "
12,391,"Date of Diagnosis Flag",538,539,"left"," "
12,400,"Primary Site",540,543,"left"," "
12,410,"Laterality",544,544,"left"," "
12,419,"Morph--Type&Behav ICD-O-2",545,549,"left"," "
12,420,"Histology (92-00) ICD-O-2",545,548,"left"," "
