"item","name_literal","start_col","end_col"
10,"Record Type",1,1
30,"Registry Type",2,2
35,"FIN Coding System",3,3
37,"Reserved 00",4,16
50,"NAACCR Record Version",17,19
45,"NPI--Registry ID",20,29
40,"Registry ID",30,39
60,"Tumor Record Number",40,41
20,"Patient ID Number",42,49
21,"Patient System ID-Hosp",50,57
370,"Reserved 01",58,94
70,"Addr at DX--City",95,144
80,"Addr at DX--State",145,146
100,"Addr at DX--Postal Code",147,155
90,"County at DX",156,158
110,"Census Tract 1970/80/90",159,164
368,"CensusBlockGroup 70/80/90",165,165
120,"Census Cod Sys 1970/80/90",166,166
364,"Census Tr Cert 1970/80/90",167,167
130,"Census Tract 2000",168,173
362,"Census Block Group 2000",174,174
365,"Census Tr Certainty 2000",175,175
150,"Marital Status at DX",176,176
160,"Race 1",177,178
161,"Race 2",179,180
162,"Race 3",181,182
163,"Race 4",183,184
164,"Race 5",185,186
170,"Race Coding Sys--Current",187,187
180,"Race Coding Sys--Original",188,188
190,"Spanish/Hispanic Origin",189,189
200,"Computed Ethnicity",190,190
210,"Computed Ethnicity Source",191,191
220,"Sex",192,192
230,"Age at Diagnosis",193,195
240,"Date of Birth",196,203
241,"Date of Birth Flag",204,205
250,"Birthplace",206,208
270,"Occupation Code--Census",209,211
280,"Industry Code--Census",212,214
290,"Occupation Source",215,215
300,"Industry Source",216,216
310,"Text--Usual Occupation",217,316
320,"Text--Usual Industry",317,416
330,"Occup/Ind Coding System",417,417
191,"NHIA Derived Hisp Origin",418,418
193,"Race--NAPIIA(derived API)",419,420
192,"IHS Link",421,421
366,"GIS Coordinate Quality",422,423
3300,"RuralUrban Continuum 1993",424,425
3310,"RuralUrban Continuum 2003",426,427
135,"Census Tract 2010",428,433
363,"Census Block Group 2010",434,434
367,"Census Tr Certainty 2010",435,435
530,"Reserved 02",436,527
380,"Sequence Number--Central",528,529
390,"Date of Diagnosis",530,537
391,"Date of Diagnosis Flag",538,539
400,"Primary Site",540,543
410,"Laterality",544,544
420,"Histology (92-00) ICD-O-2",545,548
430,"Behavior (92-00) ICD-O-2",549,549
522,"Histologic Type ICD-O-3",550,553
523,"Behavior Code ICD-O-3",554,554
440,"Grade",555,555
441,"Grade Path Value",556,556
449,"Grade Path System",557,557
450,"Site Coding Sys--Current",558,558
460,"Site Coding Sys--Original",559,559
470,"Morph Coding Sys--Current",560,560
480,"Morph Coding Sys--Originl",561,561
490,"Diagnostic Confirmation",562,562
500,"Type of Reporting Source",563,563
501,"Casefinding Source",564,565
442,"Ambiguous Terminology DX",566,566
443,"Date of Conclusive DX",567,574
448,"Date Conclusive DX Flag",575,576
444,"Mult Tum Rpt as One Prim",577,578
445,"Date of Multiple Tumors",579,586
