"name","item","start_col","end_col","alignment","padding","data_type","width","name_literal","default","allow_unlimited_text","parent","section","source","year_added","version_added","year_retired","version_retired","include_incidence","include_confidential","include_abstract"
"recordType",10,1,1,"left"," ","text",1,"Record Type","A",FALSE,"NaaccrData","Record ID","NAACCR",,,,,TRUE,TRUE,TRUE
"patientIdNumber",20,42,49,"right","0","digits",8,"Patient ID Number",,FALSE,"Patient","Record ID","Reporting Registry",,,,,TRUE,TRUE,TRUE
"patientSystemIdHosp",21,50,57,"right","0","digits",8,"Patient System ID-Hosp",,FALSE,"Tumor","Record ID","NAACCR",2006,11,,,TRUE,TRUE,TRUE
"registryType",30,2,2,"left"," ","digits",1,"Registry Type",,FALSE,"NaaccrData","Record ID","NAACCR",,,,,TRUE,TRUE,TRUE
"reserved00",37,3,16,"left"," ","text",14,"Reserved 00",,FALSE,"Tumor","Record ID",,2011,,,,TRUE,TRUE,TRUE
"registryId",40,30,39,"right","0","digits",10,"Registry ID",,FALSE,"NaaccrData","Record ID","NAACCR",,,,,TRUE,TRUE,TRUE
"npiRegistryId",45,20,29,"left"," ","digits",10,"NPI--Registry ID",,FALSE,"NaaccrData","Record ID","CMS",2007,,,,TRUE,TRUE,TRUE
"naaccrRecordVersion",50,17,19,"left"," ","digits",3,"NAACCR Record Version","160",FALSE,"NaaccrData","Record ID","NAACCR",,,,,TRUE,TRUE,TRUE
"tumorRecordNumber",60,40,41,"right","0","digits",2,"Tumor Record Number",,FALSE,"Tumor","Record ID","NAACCR",2011,,,,TRUE,TRUE,TRUE
"addrAtDxCity",70,95,144,"left"," ","text",50,"Addr at DX--City",,FALSE,"Tumor","Demographic","CoC",,,,,TRUE,TRUE,TRUE
"addrAtDxState",80,145,146,"left"," ","alpha",2,"Addr at DX--State",,FALSE,"Tumor","Demographic","CoC",2011,,,,TRUE,TRUE,TRUE
"countyAtDx",90,156,158,"right","0","digits",3,"County at DX",,FALSE,"Tumor","Demographic","FIPS/SEER",,,,,TRUE,TRUE,TRUE
"countyAtDxGeocode1990",94,464,466,"left"," ","digits",3,"County at DX Geocode1990",,FALSE,"Tumor","Demographic","NAACCR",2016,16,,,TRUE,TRUE,TRUE
"countyAtDxGeocode2000",95,467,469,"left"," ","digits",3,"County at DX Geocode2000",,FALSE,"Tumor","Demographic","NAACCR",2016,16,,,TRUE,TRUE,TRUE
"countyAtDxGeocode2010",96,470,472,"left"," ","digits",3,"County at DX Geocode2010",,FALSE,"Tumor","Demographic","NAACCR",2016,16,,,TRUE,TRUE,TRUE
"countyAtDxGeocode2020",97,473,475,"left"," ","text",3,"County at DX Geocode2020",,FALSE,"Tumor","Demographic","NAACCR",2016,16,,,TRUE,TRUE,TRUE
"addrAtDxPostalCode",100,147,155,"left"," ","text",9,"Addr at DX--Postal Code",,FALSE,"Tumor","Demographic","CoC",,,,,TRUE,TRUE,TRUE
"addrAtDxCountry",102,436,438,"left"," ","alpha",3,"Addr at DX--Country",,FALSE,"Tumor","Demographic","NAACCR",2013,13,,,TRUE,TRUE,TRUE
"censusTract19708090",110,159,164,"right","0","digits",6,"Census Tract 1970/80/90",,FALSE,"Tumor","Demographic","SEER",,,,,TRUE,TRUE,TRUE
"censusCodSys19708090",120,166,166,"left"," ","digits",1,"Census Cod Sys 1970/80/90",,FALSE,"Tumor","Demographic","SEER",,,,,TRUE,TRUE,TRUE
"censusTract2000",130,168,173,"right","0","digits",6,"Census Tract 2000",,FALSE,"Tumor","Demographic","NAACCR",,,,,TRUE,TRUE,TRUE
"censusTract2010",135,428,433,"right","0","digits",6,"Census Tract 2010",,FALSE,"Tumor","Demographic","NAACCR",2011,,,,TRUE,TRUE,TRUE
"censusTrPovertyIndictr",145,463,463,"left"," ","digits",1,"Census Tr Poverty Indictr",,FALSE,"Tumor","Demographic","NAACCR",2013,13,,,TRUE,TRUE,TRUE
