"name","item","start_col","end_col","alignment","padding","name_literal","default","parent","section","source","year_added","version_added","year_retired","version_retired"
"recordType",10,1,1,"left"," ","Record Type","A","NaaccrData","Record ID","NAACCR",,,,
"patientIdNumber",20,42,49,"right","0","Patient ID Number",,"Patient","Record ID","Reporting Registry",,,,
"patientSystemIdHosp",21,50,57,"right","0","Patient System ID-Hosp",,"Tumor","Record ID","NAACCR",2006,11,,
"registryType",30,2,2,"left"," ","Registry Type",,"NaaccrData","Record ID","NAACCR",,,,
"reserved00",37,3,16,"left"," ","Reserved 00",,"Tumor","Record ID",,2011,,,
"registryId",40,30,39,"right","0","Registry ID",,"NaaccrData","Record ID","NAACCR",,,,
"npiRegistryId",45,20,29,"left"," ","NPI--Registry ID",,"NaaccrData","Record ID","CMS",2007,,,
"naaccrRecordVersion",50,17,19,"left"," ","NAACCR Record Version","180","NaaccrData","Record ID","NAACCR",,,,
"tumorRecordNumber",60,40,41,"right","0","Tumor Record Number",,"Tumor","Record ID","NAACCR",2011,,,
"addrAtDxCity",70,74,123,"left"," ","Addr at DX--City",,"Tumor","Demographic","CoC",,,,
"addrAtDxState",80,124,125,"left"," ","Addr at DX--State",,"Tumor","Demographic","CoC",2011,,,
"stateAtDxGeocode19708090",81,153,154,"left"," ","State at DX Geocode 1970/80/90",,"Tumor","Demographic","NAACCR",2018,18,,
"stateAtDxGeocode2000",82,167,168,"left"," ","State at DX Geocode 2000",,"Tumor","Demographic","NAACCR",2018,18,,
"stateAtDxGeocode2010",83,180,181,"left"," ","State at DX Geocode 2010",,"Tumor","Demographic","NAACCR",2018,18,,
"stateAtDxGeocode2020",84,193,194,"left"," ","State at DX Geocode 2020",,"Tumor","Demographic","NAACCR",2018,18,,
"countyAtDxAnalysis",89,150,152,"left"," ","County at DX Analysis",,"Tumor","Demographic","NAACCR",2018,18,,
"countyAtDx",90,135,137,"right","0","County at DX Reported",,"Tumor","Demographic","FIPS/SEER",,,,
"countyAtDxGeocode1990",94,155,157,"left"," ","County at DX Geocode 1970/80/90",,"Tumor","Demographic","NAACCR",2016,16,,
"countyAtDxGeocode2000",95,169,171,"left"," ","County at DX Geocode2000",,"Tumor","Demographic","NAACCR",2016,16,,
"countyAtDxGeocode2010",96,182,184,"left"," ","County at DX Geocode2010",,"Tumor","Demographic","NAACCR",2016,16,,
"countyAtDxGeocode2020",97,195,197,"left"," ","County at DX Geocode2020",,"Tumor","Demographic","NAACCR",2016,16,,
"addrAtDxPostalCode",100,126,134,"left"," ","Addr at DX--Postal Code",,"Tumor","Demographic","CoC",,,,
"addrAtDxCountry",102,464,466,"left"," ","Addr at DX--Country",,"Tumor","Demographic","NAACCR",2013,13,,
"censusTract19708090",110,158,163,"right","0","Census Tract 1970/80/90",,"Tumor","Demographic","SEER",,,,
"censusCodSys19708090",120,165,165,"left"," ","Census Cod Sys 1970/80/90",,"Tumor","Demographic","SEER",,,,
"censusTract2020",125,198,203,"right","0","Census Tract 2020",,"Tumor","Demographic","NAACCR",2018,18,,
"censusTract2000",130,172,177,"right","0","Census Tract 2000",,"Tumor","Demographic","NAACCR",,,,
"censusTract2010",135,185,190,"right","0","Census Tract 2010",,"Tumor","Demographic","NAACCR",2011,,,
"censusTrPovertyIndictr",145,491,491,"left"," ","Census Tr Poverty Indictr",,"Tumor","Demographic","NAACCR",2013,13,,
"maritalStatusAtDx",150,206,206,"left"," ","Marital Status at DX",,"Tumor","Demographic","SEER",,,,
"race1",160,207,208,"right","0","Race 1",,"Patient","Demographic","SEER/CoC",,,,
"race2",161,209,210,"right","0","Race 2",,"Patient","Demographic","SEER/CoC",,,,
"race3",162,211,212,"right","0","Race 3",,"Patient","Demographic","SEER/CoC",,,,
"race4",163,213,214,"right","0","Race 4",,"Patient","Demographic","SEER/CoC",,,,
"race5",164,215,216,"right","0","Race 5",,"Patient","Demographic","SEER/CoC",,,,
"raceCodingSysCurrent",170,217,217,"left"," ","Race Coding Sys--Current",,"Patient","Demographic","NAACCR",,,,
"raceCodingSysOriginal",180,218,218,"left"," ","Race Coding Sys--Original",,"Patient","Demographic","NAACCR",,,,
"spanishHispanicOrigin",190,219,219,"left"," ","Spanish/Hispanic Origin",,"Patient","Demographic","SEER/CoC",,,,
"nhiaDerivedHispOrigin",191,448,448,"left"," ","NHIA Derived Hisp Origin",,"Patient","Demographic","NAACCR",2005,,,
"ihsLink",192,451,451,"left"," ","IHS Link",,"Patient","Demographic","NPCR",2006,11,,
"raceNapiia",193,449,450,"right","0","Race--NAPIIA(derived API)",,"Patient","Demographic","NAACCR",2009,,,
"computedEthnicity",200,220,220,"left"," ","Computed Ethnicity",,"Patient","Demographic","SEER",1995,4,,
"computedEthnicitySource",210,221,221,"left"," ","Computed Ethnicity Source",,"Patient","Demographic","SEER",,,,
"sex",220,222,222,"left"," ","Sex",,"Patient","Demographic","SEER/CoC",,,,
"ageAtDiagnosis",230,223,225,"right","0","Age at Diagnosis",,"Tumor","Demographic","SEER/CoC",,,,
"dateOfBirth",240,226,233,"left"," ","Date of Birth",,"Patient","Demographic","SEER/CoC",,,,
"dateOfBirthFlag",241,234,235,"left"," ","Date of Birth Flag",,"Patient","Demographic","NAACCR",2010,12,,
"birthplace",250,236,238,"right","0","Birthplace",,"Patient","Demographic","SEER/CoC",,,,
"birthplaceState",252,470,471,"left"," ","Birthplace--State",,"Patient","Demographic","NAACCR",2013,13,,
"birthplaceCountry",254,472,474,"left"," ","Birthplace--Country",,"Patient","Demographic","NAACCR",2013,13,,
"censusOccCode19702000",270,239,241,"right","0","Census Occ Code 1970-2000",,"Tumor","Demographic","Census/NPCR",,,,
"censusIndCode2010",272,483,486,"right","0","Census Ind Code 2010 CDC",,"Tumor","Demographic","Census/NPCR",2013,13,,
"censusIndCode19702000",280,242,244,"right","0","Census Ind Code 1970-2000",,"Tumor","Demographic","Census/NPCR",,,,
"censusOccCode2010",282,487,490,"right","0","Census Occ Code 2010 CDC",,"Tumor","Demographic","Census/NPCR",2013,13,,
"occupationSource",290,245,245,"left"," ","Occupation Source",,"Tumor","Demographic","NPCR",,,,
"industrySource",300,246,246,"left"," ","Industry Source",,"Tumor","Demographic","NPCR",,,,
"textUsualOccupation",310,247,346,"left"," ","Text--Usual Occupation",,"Tumor","Demographic","NPCR",,,,
"textUsualIndustry",320,347,446,"left"," ","Text--Usual Industry",,"Tumor","Demographic","NPCR",,,,
"censusOccIndSys7000",330,447,447,"left"," ","Census Occ/Ind Sys 70-00",,"Tumor","Demographic","NPCR",,,,
"ruca2000",339,460,460,"left"," ","RUCA 2000",,"Tumor","Demographic","NAACCR",2018,18,,
"ruca2010",341,461,461,"left"," ","RUCA 2010",,"Tumor","Demographic","NAACCR",2018,18,,
"uric2000",345,462,462,"left"," ","URIC 2000",,"Tumor","Demographic","NAACCR",2018,18,,
"uric2010",346,463,463,"left"," ","URIC 2010",,"Tumor","Demographic","NAACCR",2018,18,,
"censusBlockGroup2020",361,204,204,"left"," ","Census Block Group 2020",,"Tumor","Demographic","Census",2018,18,,
"censusBlockGroup2000",362,178,178,"left"," ","Census Block Group 2000",,"Tumor","Demographic","Census",,,,
"censusBlockGroup2010",363,191,191,"left"," ","Census Block Group 2010",,"Tumor","Demographic","Census",2011,,,
"censusTrCert19708090",364,166,166,"left"," ","Census Tr Cert 1970/80/90",,"Tumor","Demographic","SEER",1997,,,
"censusTrCertainty2000",365,179,179,"left"," ","Census Tr Certainty 2000",,"Tumor","Demographic","NAACCR",2003,10,,
"gisCoordinateQuality",366,452,453,"right","0","GIS Coordinate Quality",,"Tumor","Demographic","NAACCR",366,11,,
"censusTrCertainty2010",367,192,192,"left"," ","Census Tr Certainty 2010",,"Tumor","Demographic","NAACCR",2011,,,
"censusBlockGrp197090",368,164,164,"left"," ","Census Block Grp 1970/80/90",,"Tumor","Demographic","Census",2008,,,
"censusTractCertainty2020",369,205,205,"left"," ","Census Tract Certainty 2020",,"Tumor","Demographic","NAACCR",2018,18,,
"reserved01",370,58,73,"left"," ","Reserved 01",,"Tumor","Record ID",,2011,,,
"sequenceNumberCentral",380,542,543,"right","0","Sequence Number--Central",,"Tumor","Cancer Identification","SEER",,,,
"dateOfDiagnosis",390,544,551,"left"," ","Date of Diagnosis",,"Tumor","Cancer Identification","SEER/CoC",,,,
"dateOfDiagnosisFlag",391,552,553,"left"," ","Date of Diagnosis Flag",,"Tumor","Cancer Identification","NAACCR",2010,12,,
"primarySite",400,554,557,"left"," ","Primary Site",,"Tumor","Cancer Identification","SEER/CoC",,,,
"laterality",410,558,558,"left"," ","Laterality",,"Tumor","Cancer Identification","SEER/CoC",,,,
"histologyIcdO2",420,559,562,"left"," ","Histology (92-00) ICD-O-2",,"Tumor","Cancer Identification","SEER/CoC",,,,
"behaviorIcdO2",430,563,563,"left"," ","Behavior (92-00) ICD-O-2",,"Tumor","Cancer Identification","SEER/CoC",,,,
"dateOfMultTumorsFlag",439,601,602,"left"," ","Date of Mult Tumors Flag",,"Tumor","Cancer Identification","NAACCR",2010,12,,
"grade",440,569,569,"left"," ","Grade",,"Tumor","Cancer Identification","SEER/CoC",,,,
"gradePathValue",441,570,570,"left"," ","Grade Path Value",,"Tumor","Cancer Identification","AJCC",2010,12,,
"ambiguousTerminologyDx",442,580,580,"left"," ","Ambiguous Terminology DX",,"Tumor","Cancer Identification","SEER",2006,11,,
"dateConclusiveDx",443,581,588,"left"," ","Date Conclusive DX",,"Tumor","Cancer Identification","SEER",2006,11,,
"multTumRptAsOnePrim",444,591,592,"right","0","Mult Tum Rpt as One Prim",,"Tumor","Cancer Identification","SEER",2006,11,,
"dateOfMultTumors",445,593,600,"left"," ","Date of Mult Tumors",,"Tumor","Cancer Identification","SEER",2006,11,,
"multiplicityCounter",446,603,604,"right","0","Multiplicity Counter",,"Tumor","Cancer Identification","SEER",2006,11,,
"dateConclusiveDxFlag",448,589,590,"left"," ","Date Conclusive DX Flag",,"Tumor","Cancer Identification","NAACCR",2010,12,,
"gradePathSystem",449,571,571,"left"," ","Grade Path System",,"Tumor","Cancer Identification","AJCC",2010,12,,
"siteCodingSysCurrent",450,572,572,"left"," ","Site Coding Sys--Current",,"Tumor","Cancer Identification","NAACCR",,,,
"siteCodingSysOriginal",460,573,573,"left"," ","Site Coding Sys--Original",,"Tumor","Cancer Identification","NAACCR",,,,
"morphCodingSysCurrent",470,574,574,"left"," ","Morph Coding Sys--Current",,"Tumor","Cancer Identification","NAACCR",,,,
"morphCodingSysOriginl",480,575,575,"left"," ","Morph Coding Sys--Originl",,"Tumor","Cancer Identification","NAACCR",,,,
"diagnosticConfirmation",490,576,576,"left"," ","Diagnostic Confirmation",,"Tumor","Cancer Identification","SEER/CoC",,,,
"typeOfReportingSource",500,577,577,"left"," ","Type of Reporting Source",,"Tumor","Cancer Identification","SEER",,,,
"casefindingSource",501,578,579,"left"," ","Casefinding Source",,"Tumor","Cancer Identification","NAACCR",2006,11,,
"histologicTypeIcdO3",522,564,567,"left"," ","Histologic Type ICD-O-3",,"Tumor","Cancer Identification","SEER/CoC",2001,9,,
"behaviorCodeIcdO3",523,568,568,"left"," ","Behavior Code ICD-O-3",,"Tumor","Cancer Identification","SEER/CoC",2001,9,,
"reserved02",530,492,541,"left"," ","Reserved 02",,"Tumor","Demographic",,2011,,,
"reportingFacility",540,715,724,"right","0","Reporting Facility",,"Tumor","Hospital-Specific","CoC",,,,
"npiReportingFacility",545,705,714,"left"," ","NPI--Reporting Facility",,"Tumor","Hospital-Specific","CMS",2007,,,
"accessionNumberHosp",550,745,753,"left"," ","Accession Number--Hosp",,"Tumor","Hospital-Specific","CoC",,,,
"sequenceNumberHospital",560,754,755,"right","0","Sequence Number--Hospital",,"Tumor","Hospital-Specific","CoC",,,,
"abstractedBy",570,756,758,"left"," ","Abstracted By",,"Tumor","Hospital-Specific","CoC",,,,
"dateOf1stContact",580,759,766,"left"," ","Date of 1st Contact",,"Tumor","Hospital-Specific","CoC",,,,
"dateOf1stContactFlag",581,767,768,"left"," ","Date of 1st Contact Flag",,"Tumor","Hospital-Specific","NAACCR",2010,12,,
"dateOfInptAdm",590,769,776,"left"," ","Date of Inpt Adm",,"Tumor","Hospital-Specific","NAACCR",,,,
"dateOfInptAdmFlag",591,777,778,"left"," ","Date of Inpt Adm Flag",,"Tumor","Hospital-Specific","NAACCR",2010,12,,
"dateOfInptDisch",600,779,786,"left"," ","Date of Inpt Disch",,"Tumor","Hospital-Specific","NAACCR",,,,
