"sentinel","label"
"XX.1","100+"
"A0.1",">= 0.1"
"A0.2",">= 0.2"
"A0.3",">= 0.3"
"A0.4",">= 0.4"
"A0.5",">= 0.5"
"A0.6",">= 0.6"
"A0.7",">= 0.7"
"A0.8",">= 0.8"
"A0.9",">= 0.9"
"A1.0",">= 1.0"
"A1.1",">= 1.1"
"A1.2",">= 1.2"
"A1.3",">= 1.3"
"A1.4",">= 1.4"
"A1.5",">= 1.5"
"A1.6",">= 1.6"
"A1.7",">= 1.7"
"A1.8",">= 1.8"
"A1.9",">= 1.9"
"A2.0",">= 2.0"
"A2.1",">= 2.1"
"A2.2",">= 2.2"
"A2.3",">= 2.3"
"A2.4",">= 2.4"
"A2.5",">= 2.5"
"A2.6",">= 2.6"
"A2.7",">= 2.7"
"A2.8",">= 2.8"
"A2.9",">= 2.9"
"A3.0",">= 3.0"
"A3.1",">= 3.1"
"A3.2",">= 3.2"
"A3.3",">= 3.3"
"A3.4",">= 3.4"
"A3.5",">= 3.5"
"A3.6",">= 3.6"
"A3.7",">= 3.7"
"A3.8",">= 3.8"
"A3.9",">= 3.9"
"A4.0",">= 4.0"
"A4.1",">= 4.1"
"A4.2",">= 4.2"
"A4.3",">= 4.3"
"A4.4",">= 4.4"
"A4.5",">= 4.5"
"A4.6",">= 4.6"
"A4.7",">= 4.7"
"A4.8",">= 4.8"
"A4.9",">= 4.9"
"A5.0",">= 5.0"
"A5.1",">= 5.1"
"A5.2",">= 5.2"
"A5.3",">= 5.3"
"A5.4",">= 5.4"
"A5.5",">= 5.5"
"A5.6",">= 5.6"
"A5.7",">= 5.7"
"A5.8",">= 5.8"
"A5.9",">= 5.9"
"A6.0",">= 6.0"
"A6.1",">= 6.1"
"A6.2",">= 6.2"
"A6.3",">= 6.3"
"A6.4",">= 6.4"
"A6.5",">= 6.5"
"A6.6",">= 6.6"
"A6.7",">= 6.7"
"A6.8",">= 6.8"
"A6.9",">= 6.9"
"A7.0",">= 7.0"
"A7.1",">= 7.1"
"A7.2",">= 7.2"
"A7.3",">= 7.3"
"A7.4",">= 7.4"
"A7.5",">= 7.5"
"A7.6",">= 7.6"
"A7.7",">= 7.7"
"A7.8",">= 7.8"
"A7.9",">= 7.9"
"A8.0",">= 8.0"
"A8.1",">= 8.1"
"A8.2",">= 8.2"
"A8.3",">= 8.3"
"A8.4",">= 8.4"
"A8.5",">= 8.5"
"A8.6",">= 8.6"
"A8.7",">= 8.7"
"A8.8",">= 8.8"
"A8.9",">= 8.9"
"A9.0",">= 9.0"
"A9.1",">= 9.1"
"A9.2",">= 9.2"
"A9.3",">= 9.3"
"A9.4",">= 9.4"
"A9.5",">= 9.5"
"A9.6",">= 9.6"
"A9.7",">= 9.7"
"A9.8",">= 9.8"
"A9.9",">= 9.9"
"AX.0",">= 9.9"
"XX.8","not applicable"
"XX.9","not documented"
