Date/Time Created	VADS Content Version	VADS Application Version	Download Activity	Number of Items Selected
03/05/2019 16:14:53	3.0.0	3.1.1	Value Set Concept Detail Result Selection	272 of 272

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code	Value Set Concept Description	Value Set Code	Value Set Version
7280	Accounting, tax preparation, bookkeeping, and payroll services	Accounting, tax preparation, bookkeeping, and payroll services [7280]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
9570	Administration of economic programs and space research	Administration of economic programs and space research [9570]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
9490	Administration of environmental quality and housing programs	Administration of environmental quality and housing programs [9490]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
9480	Administration of human resource programs	Administration of human resource programs [9480]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
7470	Advertising and related services	Advertising and related services [7470]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
3590	Aerospace products and parts manufacturing	Aerospace products and parts manufacturing [3590]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
2180	Agricultural chemical manufacturing	Agricultural chemical manufacturing [2180]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
3070	Agricultural implement manufacturing	Agricultural implement manufacturing [3070]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
6070	Air transportation	Air transportation [6070]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
3580	Aircraft and parts manufacturing	Aircraft and parts manufacturing [3580]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
4560	Alcoholic beverages merchant wholesalers	Alcoholic beverages merchant wholesalers [4560]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
2680	Aluminum production and processing	Aluminum production and processing [2680]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
1070	Animal food, grain and oilseed milling	Animal food, grain and oilseed milling [1070]		2.16.840.1.114222.4.5.315	Industry CDC Census 2010	PH_Industry_CDC_Census2010	2010	CDCINDUSTRY2010		PHVS_Industry_CDC_Census2010	1
